Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),7.21,4.85,101.46,8469.92,5.07,5.20,5.20,5.20,5.21,5.22,9.76,17.26,44.64,7.42
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.97,253.00,257.00,301941.00,255.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,0.28
HTTP Chunks Sent,1.00,1.00,1.00,1175.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,1175.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.91,77.76,78.03,91545.81,77.79,77.81,77.85,77.88,77.91,77.95,77.97,77.99,78.02,0.05
HTTP Data Sent (KB),35.07,32.26,37.28,41204.59,33.16,33.55,34.06,34.61,35.05,35.54,36.15,36.50,37.17,0.86
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),44567.17,2523.60,52789.88,52366423.67,5735.14,14831.61,26221.92,49068.09,49133.77,49189.13,49224.94,49275.38,50470.95,10950.38
HTTP Receiving (ms),2456.42,1847.97,2550.09,2886295.71,2292.09,2410.31,2412.83,2416.84,2446.54,2504.24,2524.07,2531.22,2546.12,55.95
HTTP Sending (ms),0.15,0.08,0.33,173.61,0.09,0.09,0.11,0.13,0.15,0.17,0.18,0.19,0.22,0.03
HTTP Total Time (ms),44567.17,2523.60,52789.88,52366423.67,5735.14,14831.61,26221.92,49068.09,49133.77,49189.13,49224.94,49275.38,50470.95,10950.38
HTTP Waiting (TTFB) (ms),42110.60,675.45,50250.95,49479954.35,3364.47,12416.53,23691.70,46584.68,46685.47,46725.67,46779.35,46798.25,47920.73,10933.77
Input Sequence Length (tokens),8192.01,8192.00,8193.00,9625609.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.09
Inter Chunk Latency (ms),9.63,0.00,43.58,2885704.92,8.29,8.94,9.13,9.34,9.54,9.89,10.37,10.51,10.95,0.58
Inter Token Latency (ms),9.63,7.24,10.00,11316.49,8.99,9.45,9.46,9.48,9.59,9.82,9.90,9.92,9.98,0.22
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,300800.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,300800.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),103.89,100.02,138.03,122068.47,100.18,100.77,101.04,101.85,104.26,105.53,105.70,105.81,111.27,2.53
Prefill Throughput Per User (tokens/sec/user),281.82,163.02,12123.32,331133.88,170.95,175.05,175.12,175.32,175.47,175.85,345.79,659.79,2434.89,549.68
Request Latency (ms),44566.73,2523.15,52789.29,52365912.15,5734.58,14831.19,26221.33,49067.56,49133.55,49188.74,49224.70,49274.82,50470.53,10950.37
Time to First Output Token (ms),42110.81,675.72,50251.12,49480207.23,3364.62,12416.68,23691.87,46584.86,46685.71,46725.90,46779.57,46798.49,47920.98,10933.79
Time to First Token (ms),42110.81,675.72,50251.12,49480207.23,3364.62,12416.68,23691.87,46584.86,46685.71,46725.90,46779.57,46798.49,47920.98,10933.79
Time to Second Token (ms),9.69,6.30,12.73,11383.18,7.95,9.05,9.18,9.35,9.55,10.14,10.35,10.46,10.94,0.56

Metric,Value
Benchmark Duration (sec),228.53
Good Request Count,5.00
GoodRequestFraction (ratio),0.00
Goodput (requests/sec),0.02
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1316.24
Request Count,1175.00
Request Throughput (requests/sec),5.14
Total Input Sequence Length (tokens),9625609.00
Total Output Sequence Length (tokens),300800.00
Total Output Tokens (tokens),300800.00
Total Token Throughput (tokens/sec),43436.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
