Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),5.59,3.43,50.23,1246.93,3.54,3.56,3.57,3.59,3.63,3.87,8.73,15.50,35.05,6.23
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.98,255.00,257.00,57307.00,256.22,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,0.16
HTTP Chunks Sent,1.00,1.00,1.00,223.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,223.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.94,77.69,78.07,17381.58,77.81,77.85,77.87,77.91,77.95,77.98,78.01,78.03,78.05,0.05
HTTP Data Sent (KB),139.51,132.97,145.73,31110.49,133.25,134.89,136.08,137.81,139.35,141.40,143.19,144.50,145.00,2.73
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),61891.05,5098.04,74667.72,13801704.82,7303.73,16537.53,29314.54,66078.39,70539.20,71223.20,71764.94,71820.14,72319.41,17967.27
HTTP Receiving (ms),2047.72,1971.86,2099.19,456640.67,2040.62,2042.48,2043.16,2044.84,2047.15,2049.64,2052.19,2057.82,2061.77,7.96
HTTP Sending (ms),0.16,0.10,0.48,36.55,0.11,0.11,0.13,0.14,0.17,0.18,0.20,0.22,0.27,0.04
HTTP Total Time (ms),61891.05,5098.04,74667.72,13801704.82,7303.73,16537.53,29314.54,66078.39,70539.20,71223.20,71764.94,71820.14,72319.41,17967.27
HTTP Waiting (TTFB) (ms),59843.17,3045.90,72620.64,13345027.60,5258.68,14489.80,27269.21,64029.09,68494.48,69170.89,69716.84,69765.21,70267.40,17966.91
Input Sequence Length (tokens),32768.02,32768.00,32769.00,7307268.00,32768.00,32768.00,32768.00,32768.00,32768.00,32768.00,32768.00,32768.00,32769.00,0.13
Inter Chunk Latency (ms),8.03,0.00,17.02,456497.20,6.38,7.35,7.89,8.02,8.07,8.11,8.18,8.24,9.55,0.41
Inter Token Latency (ms),8.03,7.73,8.23,1790.25,8.00,8.01,8.01,8.02,8.03,8.04,8.05,8.07,8.08,0.03
OSL Mismatch Diff % (%),-0.00,-0.39,0.39,-0.78,-0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
Output Sequence Length (tokens),255.99,255.00,257.00,57086.00,255.22,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.13
Output Token Count (tokens),255.99,255.00,257.00,57086.00,255.22,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.13
Output Token Throughput Per User (tokens/sec/user),124.57,121.49,129.33,27778.13,123.73,123.93,124.27,124.44,124.60,124.73,124.83,124.90,124.99,0.49
Prefill Throughput Per User (tokens/sec/user),811.64,451.22,10757.38,180995.03,466.34,469.69,470.02,473.72,478.40,511.78,1201.72,2264.67,6231.74,1209.42
Request Latency (ms),61890.49,5096.96,74666.47,13801579.04,7303.60,16536.62,29313.69,66078.33,70538.25,71222.20,71764.53,71818.98,72318.44,17967.20
Time to First Output Token (ms),59843.42,3046.09,72620.91,13345081.84,5258.87,14490.05,27269.39,64029.36,68494.75,69171.11,69717.16,69765.42,70267.65,17966.91
Time to First Token (ms),59843.42,3046.09,72620.91,13345081.84,5258.87,14490.05,27269.39,64029.36,68494.75,69171.11,69717.16,69765.42,70267.65,17966.91
Time to Second Token (ms),7.89,4.68,11.09,1759.32,6.96,7.21,7.79,7.87,7.92,7.98,8.02,8.05,9.29,0.42

Metric,Value
Benchmark Duration (sec),250.18
Good Request Count,0.00
GoodRequestFraction (ratio),0.00
Goodput (requests/sec),0.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),228.18
Request Count,223.00
Request Throughput (requests/sec),0.89
Total Input Sequence Length (tokens),7307268.00
Total Output Sequence Length (tokens),57086.00
Total Output Tokens (tokens),57086.00
Total Token Throughput (tokens/sec),29436.62


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
