Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),71.55,9.97,137.50,138026.46,11.91,15.73,21.16,60.46,79.30,89.61,97.89,103.24,114.14,26.66
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,251.96,189.00,257.00,486035.00,220.24,239.00,243.00,248.00,257.00,257.00,257.00,257.00,257.00,7.93
HTTP Chunks Sent,1.00,1.00,1.00,1929.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,5.40,77.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44
HTTP Connection Overhead (ms),0.06,0.00,8.53,123.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70
HTTP Connection Reused (ratio),0.99,0.00,1.00,1913.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.09
HTTP Data Received (KB),78.07,58.85,80.31,150593.25,68.28,74.03,75.31,76.76,79.55,79.63,79.68,79.70,79.75,2.44
HTTP Data Sent (KB),275.64,264.56,288.28,531709.53,268.18,269.82,271.01,273.20,275.11,277.88,281.38,282.79,284.82,3.82
HTTP DNS Lookup (ms),0.02,0.00,3.13,46.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26
HTTP Duration (excl. conn) (ms),5011.22,1862.53,25665.53,9666646.14,2244.09,2480.14,2615.53,2857.98,3228.61,4234.62,12098.69,16276.45,21488.89,4401.60
HTTP Receiving (ms),1782.17,1444.30,2399.67,3437813.43,1461.45,1519.54,1575.07,1669.15,1786.22,1896.71,1980.47,2017.78,2154.59,156.98
HTTP Sending (ms),0.20,0.13,5.85,378.39,0.13,0.13,0.13,0.13,0.16,0.17,0.17,0.19,0.26,0.46
HTTP Total Time (ms),5011.29,1862.53,25665.53,9666769.77,2244.09,2480.14,2615.53,2857.98,3228.61,4234.62,12098.69,16276.45,21488.89,4401.58
HTTP Waiting (TTFB) (ms),3228.85,406.14,23906.25,6228454.32,486.22,810.23,879.64,1078.62,1403.71,2438.93,10334.03,14350.82,19771.36,4405.65
Input Sequence Length (tokens),64549.12,64547.00,64552.00,124515259.00,64548.00,64548.00,64549.00,64549.00,64549.00,64549.00,64550.00,64550.00,64551.00,0.59
Inter Chunk Latency (ms),7.12,0.00,452.46,3434986.16,5.13,5.67,5.72,6.48,6.66,7.68,8.09,8.60,13.09,3.17
Inter Token Latency (ms),6.98,5.66,9.41,13470.53,5.73,5.95,6.17,6.54,7.00,7.43,7.76,7.91,8.45,0.62
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,493824.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,493824.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),144.32,106.31,176.62,278397.63,118.41,126.46,128.86,134.53,142.85,152.88,162.20,167.93,174.54,12.81
Prefill Throughput Per User (tokens/sec/user),44280.99,2700.07,158839.29,85418029.45,3264.75,4497.86,6246.12,26463.89,45977.04,59832.96,73363.28,79644.66,132698.69,25812.59
Request Latency (ms),5009.83,1861.76,25664.48,9663968.58,2242.92,2479.75,2615.28,2856.69,3228.13,4234.20,12097.62,16275.90,21488.40,4401.60
Time to First Output Token (ms),3229.13,406.39,23906.46,6228982.42,486.47,810.46,879.85,1078.82,1403.96,2439.13,10334.27,14351.06,19771.57,4405.64
Time to First Token (ms),3229.13,406.39,23906.46,6228982.42,486.47,810.46,879.85,1078.82,1403.96,2439.13,10334.27,14351.06,19771.57,4405.64
Time to Second Token (ms),8.66,0.95,62.68,16701.27,6.56,6.95,7.06,7.94,8.22,9.30,9.74,10.55,12.41,2.15
Usage Completion Tokens (tokens),256.00,256.00,256.00,493824.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Usage Prompt Cache Read Tokens (tokens),48647.67,13248.00,64512.00,92917056.00,45056.00,46016.00,46912.00,47808.00,48064.00,48320.00,48384.00,64512.00,64512.00,3915.88
Usage Prompt Tokens (tokens),64549.12,64547.00,64552.00,124515259.00,64548.00,64548.00,64549.00,64549.00,64549.00,64549.00,64550.00,64550.00,64551.00,0.59
Usage Total Tokens (tokens),64805.12,64803.00,64808.00,125009083.00,64804.00,64804.00,64805.00,64805.00,64805.00,64805.00,64806.00,64806.00,64807.00,0.59

Metric,Value
Benchmark Duration (sec),306.75
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1609.88
Overall Usage Prompt Cache Read % (%),74.62
Request Count,1929.00
Request Throughput (requests/sec),6.29
Total Input Sequence Length (tokens),124515259.00
Total Output Sequence Length (tokens),493824.00
Total Output Tokens (tokens),493824.00
Total Token Throughput (tokens/sec),407532.66
Total Usage Completion Tokens (tokens),493824.00
Total Usage Prompt Cache Read Tokens (tokens),92917056.00
Total Usage Prompt Tokens (tokens),124515259.00
Total Usage Total Tokens (tokens),125009083.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
