Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),81.28,41.51,107.17,74450.10,59.24,77.20,78.08,80.13,81.66,82.78,85.48,86.75,88.80,4.68
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.98,255.00,257.00,235397.00,256.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,0.15
HTTP Chunks Sent,1.00,1.00,1.00,916.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,916.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.91,77.73,78.04,71367.76,77.78,77.82,77.84,77.88,77.91,77.95,77.98,78.01,78.03,0.05
HTTP Data Sent (KB),35.07,32.26,37.28,32124.92,33.16,33.55,34.07,34.61,35.05,35.56,36.17,36.50,37.17,0.86
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3164.73,2388.83,6166.75,2898895.58,2882.99,2951.55,2995.64,3092.81,3135.15,3194.98,3278.93,3316.70,4328.24,263.13
HTTP Receiving (ms),2401.79,1882.41,2566.14,2200035.49,2255.90,2356.28,2392.27,2396.65,2399.68,2414.13,2430.15,2443.09,2506.32,41.49
HTTP Sending (ms),0.15,0.12,0.31,135.98,0.13,0.13,0.13,0.13,0.16,0.16,0.17,0.17,0.18,0.02
HTTP Total Time (ms),3164.73,2388.83,6166.75,2898895.58,2882.99,2951.55,2995.64,3092.81,3135.15,3194.98,3278.93,3316.70,4328.24,263.13
HTTP Waiting (TTFB) (ms),762.80,506.27,3600.43,698724.11,534.41,558.66,601.57,684.83,721.14,784.13,895.78,923.91,1987.66,253.01
Input Sequence Length (tokens),8192.01,8192.00,8193.00,7503879.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.09
Inter Chunk Latency (ms),9.42,0.00,33.04,2199579.91,8.08,8.78,8.99,9.21,9.39,9.59,9.91,10.27,10.78,0.48
Inter Token Latency (ms),9.42,7.38,10.06,8625.85,8.84,9.24,9.38,9.40,9.41,9.46,9.53,9.58,9.83,0.16
OSL Mismatch Diff % (%),-0.00,-0.39,0.39,-0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Output Sequence Length (tokens),256.00,255.00,257.00,234495.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.06
Output Token Count (tokens),256.00,255.00,257.00,234495.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.06
Output Token Throughput Per User (tokens/sec/user),106.23,99.38,135.48,97304.42,101.78,104.41,104.95,105.66,106.29,106.42,106.61,108.25,113.07,2.04
Prefill Throughput Per User (tokens/sec/user),11240.42,2275.12,16174.45,10296220.66,4139.59,8864.70,9142.98,10444.54,11356.53,11958.76,13613.23,14657.74,15322.56,1877.39
Request Latency (ms),3164.30,2388.71,6166.59,2898502.68,2882.83,2950.92,2995.00,3092.56,3134.79,3194.69,3278.56,3316.08,4328.09,263.13
Time to First Output Token (ms),763.02,506.48,3600.70,698922.78,534.64,558.89,601.78,685.02,721.35,784.33,895.99,924.12,1987.91,253.02
Time to First Token (ms),763.02,506.48,3600.70,698922.78,534.64,558.89,601.78,685.02,721.35,784.33,895.99,924.12,1987.91,253.02
Time to Second Token (ms),9.47,3.57,12.01,8673.30,7.73,8.80,9.01,9.21,9.40,9.63,10.24,10.45,11.06,0.59

Metric,Value
Benchmark Duration (sec),182.55
Good Request Count,906.00
GoodRequestFraction (ratio),0.99
Goodput (requests/sec),4.96
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1284.55
Request Count,916.00
Request Throughput (requests/sec),5.02
Total Input Sequence Length (tokens),7503879.00
Total Output Sequence Length (tokens),234495.00
Total Output Tokens (tokens),234495.00
Total Token Throughput (tokens/sec),42390.48


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
