Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),80.26,42.84,115.70,145351.13,60.37,77.51,77.73,78.31,81.24,82.11,82.43,82.63,85.23,4.11
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,257.00,257.00,257.00,465427.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1811.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,1811.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.90,77.39,78.07,141082.97,77.78,77.81,77.83,77.86,77.90,77.95,77.98,78.00,78.03,0.06
HTTP Data Sent (KB),17.61,16.12,18.93,31889.98,16.44,16.76,17.06,17.33,17.56,17.90,18.24,18.49,18.75,0.48
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3201.52,2213.01,5975.67,5797955.01,3003.99,3098.78,3106.09,3118.13,3151.73,3269.55,3294.00,3303.43,4241.01,233.18
HTTP Receiving (ms),2785.21,1948.50,2804.54,5044011.32,2443.35,2788.22,2789.65,2791.69,2793.30,2795.44,2797.28,2798.23,2801.50,59.70
HTTP Sending (ms),0.15,0.12,0.23,273.66,0.13,0.13,0.13,0.13,0.16,0.16,0.17,0.18,0.20,0.02
HTTP Total Time (ms),3201.52,2213.01,5975.67,5797955.01,3003.99,3098.78,3106.09,3118.13,3151.73,3269.55,3294.00,3303.43,4241.01,233.18
HTTP Waiting (TTFB) (ms),416.16,264.35,3184.36,753670.03,302.01,312.59,313.77,325.03,357.80,477.11,499.90,510.47,1702.34,239.09
Input Sequence Length (tokens),4096.01,4096.00,4097.00,7417870.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,0.09
Inter Chunk Latency (ms),10.92,4.52,17.07,5043043.49,8.84,10.22,10.41,10.67,10.94,11.21,11.46,11.62,12.13,0.56
Inter Token Latency (ms),10.92,7.64,11.11,19777.08,9.58,10.93,10.94,10.95,10.95,10.96,10.97,10.97,10.99,0.23
OSL Mismatch Diff % (%),-0.00,-1.56,0.39,-3.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
Output Sequence Length (tokens),255.99,252.00,257.00,463606.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.13
Output Token Count (tokens),255.99,252.00,257.00,463606.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.13
Output Token Throughput Per User (tokens/sec/user),91.62,90.03,130.90,165930.00,91.03,91.14,91.18,91.24,91.31,91.36,91.43,91.47,104.39,2.47
Prefill Throughput Per User (tokens/sec/user),10747.92,1286.20,15481.53,19464474.97,2405.83,8020.27,8189.89,8581.09,11441.76,12593.08,13045.14,13093.51,13552.21,2205.80
Request Latency (ms),3201.05,2212.61,5975.58,5797109.40,3003.77,3098.57,3105.56,3117.69,3151.21,3268.98,3293.63,3302.84,4240.61,233.17
Time to First Output Token (ms),416.38,264.57,3184.57,754065.91,302.24,312.83,313.99,325.26,357.99,477.33,500.13,510.71,1702.57,239.09
Time to First Token (ms),416.38,264.57,3184.57,754065.91,302.24,312.83,313.99,325.26,357.99,477.33,500.13,510.71,1702.57,239.09
Time to Second Token (ms),10.77,6.52,16.29,19507.35,8.43,10.17,10.31,10.54,10.79,11.05,11.27,11.40,11.80,0.53

Metric,Value
Benchmark Duration (sec),182.59
Good Request Count,1795.00
GoodRequestFraction (ratio),0.99
Goodput (requests/sec),9.83
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),2539.08
Request Count,1811.00
Request Throughput (requests/sec),9.92
Total Input Sequence Length (tokens),7417870.00
Total Output Sequence Length (tokens),463606.00
Total Output Tokens (tokens),463606.00
Total Token Throughput (tokens/sec),43165.31


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
