Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),133.03,132.70,133.39,12504.77,132.73,132.76,132.81,132.90,133.03,133.17,133.23,133.27,133.35,0.16
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,257.00,257.00,257.00,24158.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,94.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,94.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.90,77.77,78.02,7322.82,77.79,77.81,77.82,77.85,77.91,77.95,77.97,78.00,78.02,0.06
HTTP Data Sent (KB),17.55,16.15,18.73,1649.88,16.42,16.61,17.10,17.29,17.53,17.77,18.19,18.49,18.56,0.48
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1924.52,1919.37,1929.27,180904.74,1919.83,1921.02,1921.61,1922.52,1924.57,1926.37,1927.59,1928.38,1929.02,2.35
HTTP Receiving (ms),1669.83,1667.42,1671.36,156963.62,1667.52,1668.14,1668.72,1669.39,1669.87,1670.50,1670.78,1670.99,1671.33,0.85
HTTP Sending (ms),0.15,0.14,0.21,14.57,0.14,0.14,0.14,0.15,0.16,0.16,0.16,0.17,0.20,0.01
HTTP Total Time (ms),1924.52,1919.37,1929.27,180904.74,1919.83,1921.02,1921.61,1922.52,1924.57,1926.37,1927.59,1928.38,1929.02,2.35
HTTP Waiting (TTFB) (ms),254.54,250.21,258.42,23926.55,250.24,251.11,251.58,253.04,254.55,256.54,257.40,257.61,258.19,2.16
Input Sequence Length (tokens),4096.01,4096.00,4097.00,385025.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.07,0.10
Inter Chunk Latency (ms),6.55,0.64,12.56,156945.01,6.34,6.42,6.45,6.51,6.54,6.58,6.64,6.68,6.81,0.18
Inter Token Latency (ms),6.55,6.54,6.55,615.47,6.54,6.54,6.54,6.55,6.55,6.55,6.55,6.55,6.55,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,24064.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,24064.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),152.73,152.59,152.95,14356.50,152.59,152.62,152.64,152.67,152.73,152.77,152.83,152.88,152.94,0.08
Prefill Throughput Per User (tokens/sec/user),16079.00,15836.59,16356.65,1511425.87,15850.28,15886.60,15899.42,15952.11,16078.16,16174.21,16266.73,16297.01,16354.27,136.32
Request Latency (ms),1924.39,1919.25,1929.13,180892.57,1919.75,1920.92,1921.51,1922.35,1924.45,1926.19,1927.51,1928.27,1928.71,2.34
Time to First Output Token (ms),254.76,250.42,258.64,23947.55,250.45,251.33,251.80,253.24,254.76,256.77,257.62,257.83,258.42,2.16
Time to First Token (ms),254.76,250.42,258.64,23947.55,250.45,251.33,251.80,253.24,254.76,256.77,257.62,257.83,258.42,2.16
Time to Second Token (ms),6.48,5.81,6.70,609.51,6.30,6.36,6.40,6.44,6.49,6.53,6.61,6.62,6.68,0.10

Metric,Value
Benchmark Duration (sec),181.24
Good Request Count,94.00
GoodRequestFraction (ratio),1.00
Goodput (requests/sec),0.52
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),132.77
Request Count,94.00
Request Throughput (requests/sec),0.52
Total Input Sequence Length (tokens),385025.00
Total Output Sequence Length (tokens),24064.00
Total Output Tokens (tokens),24064.00
Total Token Throughput (tokens/sec),2257.17


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
