Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),93.66,18.52,140.67,141710.22,22.53,33.34,50.69,86.31,99.15,109.54,119.86,125.19,134.86,25.46
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,252.20,167.00,257.00,381582.00,232.00,240.00,245.00,247.00,257.00,257.00,257.00,257.00,257.00,7.31
HTTP Chunks Sent,1.00,1.00,1.00,1513.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,1513.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),78.14,51.87,79.81,118227.44,71.92,74.35,75.82,76.72,79.55,79.63,79.68,79.70,79.74,2.26
HTTP Data Sent (KB),275.68,264.56,288.28,417096.74,268.28,269.82,270.99,273.21,275.07,277.96,281.53,282.99,284.95,3.88
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3187.89,1820.17,13825.70,4823275.25,1899.38,2045.67,2136.44,2339.40,2583.02,2966.94,5050.52,7679.84,11361.86,1866.89
HTTP Receiving (ms),1710.95,1446.53,2328.82,2588671.11,1450.75,1460.17,1470.50,1574.29,1687.83,1847.35,1937.97,1997.47,2159.97,174.36
HTTP Sending (ms),0.15,0.13,0.30,229.22,0.13,0.13,0.13,0.13,0.16,0.16,0.17,0.18,0.21,0.02
HTTP Total Time (ms),3187.89,1820.17,13825.70,4823275.25,1899.38,2045.67,2136.44,2339.40,2583.02,2966.94,5050.52,7679.84,11361.86,1866.89
HTTP Waiting (TTFB) (ms),1476.78,314.22,12218.98,2234374.91,344.33,370.36,392.47,530.00,906.76,1229.97,3435.34,6115.54,9656.29,1900.48
Input Sequence Length (tokens),64549.12,64547.00,64552.00,97662823.00,64548.00,64548.00,64549.00,64549.00,64549.00,64549.00,64550.00,64550.00,64551.00,0.60
Inter Chunk Latency (ms),6.83,0.00,98.50,2586811.90,5.11,5.65,5.67,5.77,6.56,7.59,7.88,8.23,12.83,2.03
Inter Token Latency (ms),6.70,5.61,9.13,10144.36,5.69,5.72,5.76,6.17,6.61,7.24,7.60,7.83,8.47,0.68
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,387328.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,387328.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),150.67,109.52,178.32,227966.80,118.13,127.70,131.65,138.09,151.26,162.02,173.63,174.78,175.89,15.05
Prefill Throughput Per User (tokens/sec/user),84570.69,5282.60,205268.01,127955450.22,6684.48,10554.59,18788.58,52469.72,71163.15,121745.81,164384.36,174164.14,187356.54,50124.97
Request Latency (ms),3186.74,1819.81,13825.30,4821532.63,1898.31,2044.85,2135.89,2336.98,2581.84,2965.89,5050.27,7679.15,11361.33,1866.95
Time to First Output Token (ms),1477.01,314.46,12219.18,2234720.73,344.53,370.62,392.67,530.19,907.06,1230.20,3435.55,6115.77,9656.54,1900.48
Time to First Token (ms),1477.01,314.46,12219.18,2234720.73,344.53,370.62,392.67,530.19,907.06,1230.20,3435.55,6115.77,9656.54,1900.48
Time to Second Token (ms),8.32,0.38,62.27,12593.40,6.59,6.86,6.93,7.11,8.02,9.12,9.46,9.77,11.48,3.26
Usage Completion Tokens (tokens),256.00,256.00,256.00,387328.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Usage Prompt Cache Read Tokens (tokens),54092.46,44800.00,64512.00,81409152.00,45056.00,45568.00,46016.00,47424.00,48128.00,64512.00,64512.00,64512.00,64512.00,8407.43
Usage Prompt Tokens (tokens),64549.12,64547.00,64552.00,97662823.00,64548.00,64548.00,64549.00,64549.00,64549.00,64549.00,64550.00,64550.00,64551.00,0.60
Usage Total Tokens (tokens),64805.12,64803.00,64808.00,98050151.00,64804.00,64804.00,64805.00,64805.00,64805.00,64805.00,64806.00,64806.00,64807.00,0.60

Metric,Value
Benchmark Duration (sec),303.30
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1277.04
Overall Usage Prompt Cache Read % (%),83.36
Request Count,1513.00
Request Throughput (requests/sec),4.99
Total Input Sequence Length (tokens),97662823.00
Total Output Sequence Length (tokens),387328.00
Total Output Tokens (tokens),387328.00
Total Token Throughput (tokens/sec),323275.11
Total Usage Completion Tokens (tokens),387328.00
Total Usage Prompt Cache Read Tokens (tokens),81409152.00
Total Usage Prompt Tokens (tokens),97662823.00
Total Usage Total Tokens (tokens),98050151.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
