Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),98.85,66.85,105.87,55159.23,83.11,98.39,98.65,99.02,99.26,99.44,99.65,99.81,100.79,3.18
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,255.96,179.00,257.00,142827.00,193.57,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,8.53
HTTP Chunks Sent,1.00,1.00,1.00,558.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,558.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.61,54.80,78.07,43304.53,59.07,77.81,77.84,77.87,77.91,77.95,77.98,77.99,78.02,2.55
HTTP Data Sent (KB),35.07,32.26,37.28,19567.93,33.16,33.55,34.07,34.64,35.05,35.56,36.14,36.40,37.17,0.85
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2593.80,2418.19,3829.84,1447339.28,2540.11,2565.32,2569.32,2574.90,2579.51,2585.74,2595.56,2602.38,3092.39,114.41
HTTP Receiving (ms),2048.80,1496.13,2214.82,1143230.08,1985.01,2043.81,2046.53,2048.55,2050.51,2052.42,2054.62,2056.65,2060.97,27.86
HTTP Sending (ms),0.15,0.12,0.22,81.35,0.13,0.13,0.13,0.13,0.14,0.16,0.16,0.17,0.20,0.02
HTTP Total Time (ms),2593.80,2418.19,3829.84,1447339.28,2540.11,2565.32,2569.32,2574.90,2579.51,2585.74,2595.56,2602.38,3092.39,114.41
HTTP Waiting (TTFB) (ms),544.85,509.39,1770.48,304027.85,514.03,518.49,520.41,524.07,528.82,535.11,542.25,548.23,1142.64,115.14
Input Sequence Length (tokens),8192.01,8192.00,8193.00,4571140.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.08
Inter Chunk Latency (ms),8.06,0.00,654.52,1142967.99,7.03,7.57,7.76,7.89,8.01,8.20,8.37,8.47,8.97,4.55
Inter Token Latency (ms),8.03,5.87,8.68,4482.23,7.78,8.01,8.02,8.03,8.04,8.05,8.05,8.06,8.08,0.11
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,142848.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,142848.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),124.52,115.17,170.47,69482.60,123.76,124.02,124.15,124.27,124.39,124.51,124.62,124.79,128.48,2.16
Prefill Throughput Per User (tokens/sec/user),15283.32,4626.43,16075.93,8528092.00,7236.27,14937.44,15101.93,15302.83,15484.73,15624.38,15735.24,15792.52,15930.78,1248.73
Request Latency (ms),2593.40,2418.01,3829.58,1447115.43,2539.88,2564.86,2568.88,2574.48,2579.13,2585.42,2595.04,2601.97,3091.91,114.42
Time to First Output Token (ms),545.07,509.58,1770.70,304147.44,514.22,518.73,520.61,524.31,529.04,535.33,542.45,548.42,1142.84,115.14
Time to First Token (ms),545.07,509.58,1770.70,304147.44,514.22,518.73,520.61,524.31,529.04,535.33,542.45,548.42,1142.84,115.14
Time to Second Token (ms),7.96,0.00,9.50,4438.94,6.87,7.39,7.63,7.78,7.99,8.16,8.31,8.49,8.97,0.50

Metric,Value
Benchmark Duration (sec),182.14
Good Request Count,558.00
GoodRequestFraction (ratio),1.00
Goodput (requests/sec),3.06
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),784.26
Request Count,558.00
Request Throughput (requests/sec),3.06
Total Input Sequence Length (tokens),4571140.00
Total Output Sequence Length (tokens),142848.00
Total Output Tokens (tokens),142848.00
Total Token Throughput (tokens/sec),25880.71


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
