Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),3.85,1.76,48.47,1105.28,1.79,1.80,1.80,1.80,1.81,3.05,7.04,12.36,33.91,5.80
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.98,256.00,257.00,73754.00,256.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,0.13
HTTP Chunks Sent,1.00,1.00,1.00,287.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,287.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.94,77.65,78.07,22368.67,77.68,77.84,77.87,77.91,77.95,77.98,78.02,78.03,78.06,0.06
HTTP Data Sent (KB),139.47,132.88,145.73,40027.49,133.23,135.00,136.12,137.74,139.20,141.41,143.10,144.42,144.93,2.69
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),112011.34,5281.61,145478.07,32147253.23,7548.87,20716.13,36348.36,83901.33,141069.72,141898.95,142394.32,142467.59,142806.19,42973.48
HTTP Receiving (ms),2049.16,2040.24,2096.16,588110.08,2040.90,2041.97,2043.09,2045.49,2048.32,2051.17,2054.76,2059.42,2067.91,6.11
HTTP Sending (ms),0.16,0.09,0.37,44.61,0.09,0.10,0.11,0.13,0.15,0.18,0.20,0.22,0.25,0.04
HTTP Total Time (ms),112011.34,5281.61,145478.07,32147253.23,7548.87,20716.13,36348.36,83901.33,141069.72,141898.95,142394.32,142467.59,142806.19,42973.48
HTTP Waiting (TTFB) (ms),109962.02,3220.44,143432.89,31559098.55,5494.97,18668.32,34301.61,81850.82,139001.30,139853.00,140340.38,140424.12,140716.21,42973.19
Input Sequence Length (tokens),32768.02,32768.00,32769.00,9404422.00,32768.00,32768.00,32768.00,32768.00,32768.00,32768.00,32768.00,32768.00,32769.00,0.14
Inter Chunk Latency (ms),8.03,0.00,18.19,587926.96,6.44,7.36,7.89,8.02,8.07,8.13,8.20,8.26,9.59,0.41
Inter Token Latency (ms),8.03,8.00,8.22,2305.72,8.00,8.01,8.01,8.02,8.03,8.04,8.06,8.08,8.11,0.02
OSL Mismatch Diff % (%),-0.01,-0.39,0.00,-1.56,-0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
Output Sequence Length (tokens),255.99,255.00,256.00,73468.00,255.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.12
Output Token Count (tokens),255.99,255.00,256.00,73468.00,255.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.12
Output Token Throughput Per User (tokens/sec/user),124.47,121.71,125.06,35724.06,123.33,123.83,124.11,124.36,124.54,124.69,124.86,124.92,125.01,0.38
Prefill Throughput Per User (tokens/sec/user),559.99,228.46,10174.49,160716.24,232.87,233.35,233.49,234.30,235.74,400.35,955.38,1755.36,5963.28,1078.61
Request Latency (ms),112010.77,5281.36,145476.84,32147090.44,7548.66,20715.26,36348.22,83900.74,141068.71,141897.91,142393.34,142467.31,142805.27,42973.48
Time to First Output Token (ms),109962.24,3220.60,143433.06,31559163.48,5495.17,18668.53,34301.80,81851.09,139001.51,139853.22,140340.61,140424.34,140716.48,42973.21
Time to First Token (ms),109962.24,3220.60,143433.06,31559163.48,5495.17,18668.53,34301.80,81851.09,139001.51,139853.22,140340.61,140424.34,140716.48,42973.21
Time to Second Token (ms),7.86,5.77,10.42,2256.41,6.22,7.10,7.39,7.86,7.93,8.00,8.05,8.10,8.74,0.40

Metric,Value
Benchmark Duration (sec),320.79
Good Request Count,0.00
GoodRequestFraction (ratio),0.00
Goodput (requests/sec),0.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),229.02
Request Count,287.00
Request Throughput (requests/sec),0.89
Total Input Sequence Length (tokens),9404422.00
Total Output Sequence Length (tokens),73468.00
Total Output Tokens (tokens),73468.00
Total Token Throughput (tokens/sec),29545.58


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
