Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),102.15,68.06,116.19,117883.18,86.58,101.80,102.00,102.18,102.39,102.68,102.94,103.23,105.38,3.15
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.96,253.00,257.00,296528.00,254.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,0.37
HTTP Chunks Sent,1.00,1.00,1.00,1154.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,1154.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.90,77.74,78.05,89899.36,77.78,77.81,77.83,77.86,77.90,77.95,77.97,77.99,78.02,0.06
HTTP Data Sent (KB),17.61,16.12,18.93,20322.71,16.44,16.78,17.06,17.33,17.57,17.90,18.24,18.49,18.75,0.48
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2509.66,2203.81,3761.79,2896149.90,2429.70,2480.38,2487.38,2493.53,2500.61,2505.86,2509.98,2515.24,2961.91,105.62
HTTP Receiving (ms),2205.58,1941.99,2223.54,2545241.78,2131.88,2190.30,2197.03,2203.36,2208.53,2213.06,2216.77,2219.14,2222.43,20.49
HTTP Sending (ms),0.16,0.13,0.27,179.86,0.13,0.13,0.13,0.13,0.16,0.17,0.17,0.19,0.21,0.02
HTTP Total Time (ms),2509.66,2203.81,3761.79,2896149.90,2429.70,2480.38,2487.38,2493.53,2500.61,2505.86,2509.98,2515.24,2961.91,105.62
HTTP Waiting (TTFB) (ms),303.92,261.63,1590.74,350728.26,279.02,283.13,284.44,286.28,290.59,294.50,300.79,303.12,796.58,108.68
Input Sequence Length (tokens),4096.01,4096.00,4097.00,4726793.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,0.09
Inter Chunk Latency (ms),8.65,0.00,36.36,2544719.50,7.51,8.01,8.19,8.45,8.68,8.87,9.05,9.17,9.65,0.44
Inter Token Latency (ms),8.65,7.61,8.73,9979.39,8.36,8.59,8.61,8.64,8.66,8.68,8.69,8.70,8.71,0.08
OSL Mismatch Diff % (%),-0.00,-1.17,0.00,-1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
Output Sequence Length (tokens),256.00,253.00,256.00,295421.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.09
Output Token Count (tokens),256.00,253.00,256.00,295421.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.09
Output Token Throughput Per User (tokens/sec/user),115.65,114.56,131.35,133459.03,114.76,114.93,115.06,115.24,115.48,115.75,116.09,116.44,119.65,1.16
Prefill Throughput Per User (tokens/sec/user),13899.36,2574.48,15639.47,16039861.72,5329.85,13503.68,13605.17,13897.57,14084.62,14296.35,14387.82,14456.15,14668.89,1295.50
Request Latency (ms),2509.28,2203.28,3761.45,2895710.64,2429.35,2479.82,2487.00,2493.16,2500.15,2505.49,2509.77,2514.75,2961.74,105.63
Time to First Output Token (ms),304.15,261.90,1591.00,350991.14,279.23,283.34,284.69,286.51,290.81,294.73,301.06,303.32,796.85,108.68
Time to First Token (ms),304.15,261.90,1591.00,350991.14,279.23,283.34,284.69,286.51,290.81,294.73,301.06,303.32,796.85,108.68
Time to Second Token (ms),8.47,0.00,14.37,9778.76,7.33,7.82,8.02,8.31,8.52,8.69,8.86,8.96,9.38,0.47

Metric,Value
Benchmark Duration (sec),182.13
Good Request Count,1154.00
GoodRequestFraction (ratio),1.00
Goodput (requests/sec),6.34
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1622.08
Request Count,1154.00
Request Throughput (requests/sec),6.34
Total Input Sequence Length (tokens),4726793.00
Total Output Sequence Length (tokens),295421.00
Total Output Tokens (tokens),295421.00
Total Token Throughput (tokens/sec),27575.63


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
