Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),41.85,27.95,88.95,39845.49,34.72,39.97,40.47,40.70,41.48,42.45,43.35,44.19,51.27,3.41
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.99,256.00,257.00,244651.00,256.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,0.12
HTTP Chunks Sent,1.00,1.00,1.00,952.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,952.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.91,77.76,78.03,74170.93,77.78,77.81,77.85,77.88,77.91,77.95,77.97,77.99,78.02,0.05
HTTP Data Sent (KB),35.06,32.26,37.28,33378.81,33.16,33.55,34.07,34.61,35.05,35.53,36.15,36.43,37.17,0.85
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),6145.43,2878.28,9160.47,5850450.59,5000.82,5793.41,5906.31,6030.48,6172.10,6289.96,6326.60,6405.31,7378.89,380.88
HTTP Receiving (ms),2453.95,2001.26,2550.68,2336155.95,2272.39,2411.55,2413.93,2419.03,2446.52,2493.17,2517.80,2525.76,2538.36,52.04
HTTP Sending (ms),0.15,0.13,0.25,145.75,0.13,0.13,0.13,0.13,0.16,0.17,0.17,0.18,0.20,0.02
HTTP Total Time (ms),6145.43,2878.28,9160.47,5850450.59,5000.82,5793.41,5906.31,6030.48,6172.10,6289.96,6326.60,6405.31,7378.89,380.88
HTTP Waiting (TTFB) (ms),3691.33,876.88,6692.31,3514148.90,2643.39,3386.58,3481.16,3581.53,3681.28,3795.90,3902.74,3959.08,4928.32,358.54
Input Sequence Length (tokens),8192.01,8192.00,8193.00,7798792.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.09
Inter Chunk Latency (ms),9.62,0.00,24.93,2335670.22,8.15,8.85,9.09,9.33,9.53,9.91,10.37,10.52,11.05,0.58
Inter Token Latency (ms),9.62,7.85,10.00,9159.49,8.91,9.45,9.46,9.48,9.59,9.77,9.87,9.90,9.95,0.20
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,243712.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,243712.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),103.99,100.01,127.43,98993.96,100.48,100.99,101.30,102.30,104.25,105.44,105.66,105.77,112.24,2.34
Prefill Throughput Per User (tokens/sec/user),2251.06,1224.05,9339.99,2143011.30,1664.11,2069.05,2098.91,2158.01,2225.18,2287.13,2353.08,2418.82,3112.20,418.14
Request Latency (ms),6144.99,2878.16,9159.90,5850032.00,5000.26,5792.77,5905.70,6030.23,6171.86,6289.72,6325.95,6404.86,7378.34,380.86
Time to First Output Token (ms),3691.56,877.09,6692.53,3514361.78,2643.64,3386.77,3481.39,3581.78,3681.50,3796.09,3902.98,3959.30,4928.58,358.54
Time to First Token (ms),3691.56,877.09,6692.53,3514361.78,2643.64,3386.77,3481.39,3581.78,3681.50,3796.09,3902.98,3959.30,4928.58,358.54
Time to Second Token (ms),9.67,6.37,13.59,9204.75,7.83,8.96,9.15,9.32,9.53,10.13,10.35,10.45,11.18,0.61

Metric,Value
Benchmark Duration (sec),185.37
Good Request Count,6.00
GoodRequestFraction (ratio),0.01
Goodput (requests/sec),0.03
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1314.74
Request Count,952.00
Request Throughput (requests/sec),5.14
Total Input Sequence Length (tokens),7798792.00
Total Output Sequence Length (tokens),243712.00
Total Output Tokens (tokens),243712.00
Total Token Throughput (tokens/sec),43386.40


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
