Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),23.28,17.56,112.96,49313.13,20.03,22.07,22.26,22.37,22.54,22.75,22.82,22.86,49.59,5.57
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.99,255.00,257.00,544308.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,0.10
HTTP Chunks Sent,1.00,1.00,1.00,2118.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,2118.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.90,77.76,78.07,164998.54,77.77,77.81,77.82,77.86,77.90,77.94,77.98,78.01,78.04,0.06
HTTP Data Sent (KB),17.61,16.12,18.93,37305.04,16.44,16.76,17.06,17.34,17.57,17.90,18.24,18.49,18.75,0.48
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),11219.77,2266.93,14578.81,23763469.23,5162.52,11198.37,11216.38,11255.39,11358.04,11444.97,11499.12,11601.63,12740.16,1024.23
HTTP Receiving (ms),2797.03,1946.22,2816.03,5924099.01,2523.18,2797.66,2799.09,2801.07,2803.59,2806.16,2808.31,2809.87,2814.19,54.74
HTTP Sending (ms),0.15,0.08,0.26,316.35,0.09,0.12,0.13,0.13,0.15,0.16,0.17,0.20,0.21,0.02
HTTP Total Time (ms),11219.77,2266.93,14578.81,23763469.23,5162.52,11198.37,11216.38,11255.39,11358.04,11444.97,11499.12,11601.63,12740.16,1024.23
HTTP Waiting (TTFB) (ms),8422.59,320.53,11781.02,17839053.87,2475.63,8396.88,8421.89,8451.96,8555.31,8641.77,8698.69,8795.57,9941.49,991.44
Input Sequence Length (tokens),4096.01,4096.00,4097.00,8675344.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,0.09
Inter Chunk Latency (ms),10.97,0.00,33.96,5922947.50,9.01,10.26,10.45,10.70,10.97,11.25,11.52,11.73,12.43,0.59
Inter Token Latency (ms),10.97,7.63,11.11,23228.03,9.89,10.97,10.97,10.98,10.99,11.00,11.01,11.02,11.04,0.21
OSL Mismatch Diff % (%),-0.00,-1.17,0.00,-7.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
Output Sequence Length (tokens),255.99,253.00,256.00,542190.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.13
Output Token Count (tokens),255.99,253.00,256.00,542190.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.13
Output Token Throughput Per User (tokens/sec/user),91.23,90.01,131.08,193218.27,90.61,90.76,90.82,90.89,90.97,91.05,91.12,91.17,101.09,2.25
Prefill Throughput Per User (tokens/sec/user),522.81,347.67,12768.05,1107316.19,412.00,465.68,470.87,473.97,478.75,484.61,486.34,487.79,1654.51,453.30
Request Latency (ms),11219.29,2266.20,14578.30,23762461.64,5162.16,11198.27,11216.13,11254.99,11357.56,11444.46,11498.74,11601.05,12739.99,1024.24
Time to First Output Token (ms),8422.81,320.80,11781.21,17839514.14,2475.77,8397.08,8422.11,8452.17,8555.54,8641.96,8698.88,8795.77,9941.72,991.45
Time to First Token (ms),8422.81,320.80,11781.21,17839514.14,2475.77,8397.08,8422.11,8452.17,8555.54,8641.96,8698.88,8795.77,9941.72,991.45
Time to Second Token (ms),10.82,6.59,15.82,22919.03,8.57,10.17,10.32,10.57,10.84,11.12,11.36,11.53,11.98,0.57

Metric,Value
Benchmark Duration (sec),190.86
Good Request Count,16.00
GoodRequestFraction (ratio),0.01
Goodput (requests/sec),0.08
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),2840.81
Request Count,2118.00
Request Throughput (requests/sec),11.10
Total Input Sequence Length (tokens),8675344.00
Total Output Sequence Length (tokens),542190.00
Total Output Tokens (tokens),542190.00
Total Token Throughput (tokens/sec),48295.43


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
