Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),19.09,15.02,72.91,8266.08,16.86,17.90,17.92,17.98,18.25,18.38,18.40,19.67,46.84,5.36
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,257.00,257.00,257.00,111281.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,433.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,433.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.93,77.76,78.05,33744.00,77.80,77.84,77.86,77.89,77.94,77.97,78.00,78.01,78.04,0.05
HTTP Data Sent (KB),69.92,65.29,73.66,30274.10,66.11,67.17,68.12,69.14,69.82,70.71,72.15,72.65,73.18,1.53
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),13804.63,3511.49,17042.62,5977405.59,5465.50,13023.52,13915.62,13930.53,14026.70,14235.66,14284.43,14298.21,15187.12,1493.03
HTTP Receiving (ms),2218.53,2005.14,2252.17,960624.41,2148.00,2215.39,2216.42,2218.52,2220.59,2222.43,2223.66,2224.80,2227.30,18.02
HTTP Sending (ms),0.15,0.13,0.36,65.78,0.13,0.13,0.13,0.13,0.15,0.16,0.17,0.18,0.22,0.02
HTTP Total Time (ms),13804.63,3511.49,17042.62,5977405.59,5465.50,13023.52,13915.62,13930.53,14026.70,14235.66,14284.43,14298.21,15187.12,1493.03
HTTP Waiting (TTFB) (ms),11585.95,1506.16,14827.85,5016715.40,3272.09,10801.94,11696.46,11710.65,11805.64,12012.72,12065.40,12076.78,12968.55,1483.65
Input Sequence Length (tokens),16384.02,16384.00,16385.00,7094279.00,16384.00,16384.00,16384.00,16384.00,16384.00,16384.00,16384.00,16384.00,16385.00,0.13
Inter Chunk Latency (ms),8.70,5.05,12.89,960406.73,7.35,8.02,8.14,8.55,8.72,8.97,9.11,9.20,9.93,0.44
Inter Token Latency (ms),8.70,7.86,8.83,3766.30,8.42,8.69,8.69,8.70,8.71,8.71,8.72,8.72,8.73,0.07
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,110848.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,110848.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),114.98,113.23,127.20,49784.22,114.53,114.64,114.70,114.77,114.86,114.96,115.08,115.13,118.73,1.01
Prefill Throughput Per User (tokens/sec/user),1504.12,1104.93,10875.98,651285.64,1263.39,1356.62,1357.90,1363.86,1387.78,1399.11,1400.74,1518.44,5007.05,806.86
Request Latency (ms),13804.20,3511.17,17042.49,5977218.85,5465.16,13023.37,13915.38,13929.88,14026.62,14235.04,14284.20,14297.77,15186.83,1493.01
Time to First Output Token (ms),11586.17,1506.44,14828.10,5016812.13,3272.31,10802.16,11696.67,11710.90,11805.87,12012.95,12065.65,12077.05,12968.82,1483.65
Time to First Token (ms),11586.17,1506.44,14828.10,5016812.13,3272.31,10802.16,11696.67,11710.90,11805.87,12012.95,12065.65,12077.05,12968.82,1483.65
Time to Second Token (ms),8.72,6.23,11.33,3774.12,7.33,8.32,8.46,8.56,8.76,8.89,8.99,9.05,9.87,0.39

Metric,Value
Benchmark Duration (sec),193.16
Good Request Count,2.00
GoodRequestFraction (ratio),0.00
Goodput (requests/sec),0.01
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),573.86
Request Count,433.00
Request Throughput (requests/sec),2.24
Total Input Sequence Length (tokens),7094279.00
Total Output Sequence Length (tokens),110848.00
Total Output Tokens (tokens),110848.00
Total Token Throughput (tokens/sec),37300.94


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
