Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),24.90,5.19,100.36,57112.90,6.02,7.10,8.47,20.65,25.25,29.49,34.67,38.77,53.43,9.86
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,252.19,175.00,257.00,578526.00,230.93,239.00,245.00,248.00,257.00,257.00,257.00,257.00,257.00,7.44
HTTP Chunks Sent,1.00,1.00,1.00,2294.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),6.13,0.00,1037.68,14055.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.54,77.61
HTTP Connection Overhead (ms),6.15,0.00,1042.30,14116.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.94,77.71
HTTP Connection Reused (ratio),0.97,0.00,1.00,2214.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.18
HTTP Data Received (KB),78.13,54.24,79.79,179229.63,71.50,74.07,75.89,76.76,79.53,79.62,79.68,79.70,79.74,2.29
HTTP Data Sent (KB),275.62,264.56,288.28,632276.45,268.23,269.86,271.01,273.11,275.11,277.88,281.29,282.80,284.84,3.81
HTTP DNS Lookup (ms),0.03,0.00,4.68,60.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32
HTTP Duration (excl. conn) (ms),13041.55,2550.89,49352.48,29917309.22,4792.32,6602.81,7391.24,8681.47,10140.01,12399.45,30241.43,36072.62,42523.86,8734.68
HTTP Receiving (ms),1897.99,1442.97,2943.24,4353977.89,1456.53,1537.74,1608.13,1724.84,1891.67,2034.45,2195.54,2312.53,2520.63,230.70
HTTP Sending (ms),6.28,0.09,1038.05,14412.04,0.12,0.13,0.13,0.13,0.16,0.17,0.19,0.22,6.78,77.61
HTTP Total Time (ms),13047.70,2550.89,49352.48,29931425.47,4795.54,6602.81,7391.24,8681.47,10145.81,12405.15,30241.43,36072.62,42523.86,8736.41
HTTP Waiting (TTFB) (ms),11137.28,925.71,47514.21,25548919.28,2908.57,4663.03,5505.45,6722.08,8214.40,10523.89,28355.59,34174.27,40682.65,8756.93
Input Sequence Length (tokens),64549.12,64547.00,64552.00,148075677.00,64548.00,64548.00,64549.00,64549.00,64549.00,64549.00,64550.00,64550.00,64551.00,0.59
Inter Chunk Latency (ms),7.58,0.00,493.98,4350739.11,5.38,5.69,5.77,6.55,7.60,8.07,9.40,9.85,13.44,2.99
Inter Token Latency (ms),7.44,5.66,11.53,17061.72,5.71,6.02,6.30,6.76,7.41,7.98,8.60,9.06,9.88,0.90
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,587264.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,587264.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),136.42,86.73,176.77,312949.44,101.22,110.37,116.32,125.38,134.92,147.95,158.75,166.03,175.14,16.39
Prefill Throughput Per User (tokens/sec/user),8116.82,1358.51,69705.83,18619984.25,1586.68,1888.83,2276.40,6133.46,7851.30,9600.98,11724.05,13842.03,22190.95,4803.50
Request Latency (ms),13040.21,2550.76,49351.01,29914251.41,4791.26,6602.48,7384.20,8679.89,10139.51,12398.98,30240.37,36072.14,42522.66,8734.60
Time to First Output Token (ms),11143.64,926.02,47514.41,25563512.30,2908.82,4663.26,5505.67,6723.17,8221.51,10524.12,28355.79,34174.50,40682.85,8757.90
Time to First Token (ms),11143.64,926.02,47514.41,25563512.30,2908.82,4663.26,5505.67,6723.17,8221.51,10524.12,28355.79,34174.50,40682.85,8757.90
Time to Second Token (ms),9.28,0.00,489.97,21277.76,6.56,7.01,7.23,8.07,9.21,9.72,11.12,11.53,12.70,10.14
Usage Completion Tokens (tokens),256.00,256.00,256.00,587264.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Usage Prompt Cache Read Tokens (tokens),47840.38,2496.00,48384.00,92666816.00,41812.48,45248.00,46848.00,48384.00,48384.00,48384.00,48384.00,48384.00,48384.00,2712.01
Usage Prompt Tokens (tokens),64549.12,64547.00,64552.00,148075677.00,64548.00,64548.00,64549.00,64549.00,64549.00,64549.00,64550.00,64550.00,64551.00,0.59
Usage Total Tokens (tokens),64805.12,64803.00,64808.00,148662941.00,64804.00,64804.00,64805.00,64805.00,64805.00,64805.00,64806.00,64806.00,64807.00,0.59

Metric,Value
Benchmark Duration (sec),344.83
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1703.03
Overall Usage Prompt Cache Read % (%),62.58
Request Count,2294.00
Request Throughput (requests/sec),6.65
Total Input Sequence Length (tokens),148075677.00
Total Output Sequence Length (tokens),587264.00
Total Output Tokens (tokens),587264.00
Total Token Throughput (tokens/sec),431114.21
Total Usage Completion Tokens (tokens),587264.00
Total Usage Prompt Cache Read Tokens (tokens),92666816.00
Total Usage Prompt Tokens (tokens),148075677.00
Total Usage Total Tokens (tokens),148662941.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
