Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),3.16,0.89,51.85,1013.22,0.90,0.90,0.90,0.94,1.40,2.72,6.26,11.12,29.06,5.45
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.98,254.00,257.00,82490.00,256.20,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,0.22
HTTP Chunks Sent,1.00,1.00,1.00,321.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,321.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.93,77.04,78.06,25017.03,77.70,77.84,77.87,77.90,77.95,77.98,78.01,78.02,78.05,0.08
HTTP Data Sent (KB),139.41,132.88,145.73,44750.17,133.17,134.89,136.06,137.61,139.27,141.39,143.08,144.45,144.91,2.74
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),174321.72,4938.67,287712.22,55957273.62,8825.20,23026.88,40924.54,94066.90,182318.35,271544.03,283853.28,284463.24,284874.27,91606.50
HTTP Receiving (ms),2047.34,1913.13,2064.91,657196.18,2039.43,2041.44,2042.39,2044.42,2047.16,2050.05,2054.37,2056.53,2062.06,8.89
HTTP Sending (ms),0.14,0.09,0.30,45.74,0.09,0.10,0.10,0.11,0.13,0.17,0.20,0.23,0.28,0.04
HTTP Total Time (ms),174321.72,4938.67,287712.22,55957273.62,8825.20,23026.88,40924.54,94066.90,182318.35,271544.03,283853.28,284463.24,284874.27,91606.50
HTTP Waiting (TTFB) (ms),172274.24,3025.31,285662.25,55300031.71,6781.27,20975.19,38877.09,92025.29,180270.16,269495.95,281809.06,282416.18,282818.61,91605.35
Input Sequence Length (tokens),32768.02,32768.00,32769.00,10518534.00,32768.00,32768.00,32768.00,32768.00,32768.00,32768.00,32768.00,32768.00,32769.00,0.14
Inter Chunk Latency (ms),8.03,0.00,29.43,657023.61,6.45,7.35,7.87,8.02,8.07,8.12,8.19,8.24,9.59,0.42
Inter Token Latency (ms),8.03,7.50,8.10,2576.66,8.00,8.00,8.01,8.02,8.03,8.04,8.06,8.06,8.09,0.04
OSL Mismatch Diff % (%),-0.00,-0.39,0.00,-1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
Output Sequence Length (tokens),255.99,255.00,256.00,82173.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.10
Output Token Count (tokens),255.99,255.00,256.00,82173.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.10
Output Token Throughput Per User (tokens/sec/user),124.58,123.51,133.36,39990.98,123.68,124.02,124.14,124.41,124.59,124.76,124.88,124.94,125.06,0.57
Prefill Throughput Per User (tokens/sec/user),456.50,114.71,10830.13,146536.42,115.86,116.03,116.28,121.59,181.77,356.08,842.86,1562.21,4845.01,973.07
Request Latency (ms),174321.25,4937.74,287711.17,55957122.30,8824.40,23026.78,40924.33,94065.94,182318.13,271543.80,283853.09,284463.01,284874.14,91606.50
Time to First Output Token (ms),172274.45,3025.63,285662.49,55300098.70,6781.51,20975.43,38877.23,92025.48,180270.35,269496.22,281809.27,282416.40,282818.89,91605.37
Time to First Token (ms),172274.45,3025.63,285662.49,55300098.70,6781.51,20975.43,38877.23,92025.48,180270.35,269496.22,281809.27,282416.40,282818.89,91605.37
Time to Second Token (ms),7.86,5.38,9.69,2522.36,6.29,7.14,7.74,7.87,7.93,7.98,8.03,8.07,8.17,0.34

Metric,Value
Benchmark Duration (sec),359.48
Good Request Count,0.00
GoodRequestFraction (ratio),0.00
Goodput (requests/sec),0.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),228.59
Request Count,321.00
Request Throughput (requests/sec),0.89
Total Input Sequence Length (tokens),10518534.00
Total Output Sequence Length (tokens),82173.00
Total Output Tokens (tokens),82173.00
Total Token Throughput (tokens/sec),29489.13


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
