Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),117.37,92.34,121.24,77935.27,110.58,117.15,117.26,117.51,117.60,117.67,117.75,117.82,118.38,2.11
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.95,251.00,257.00,170618.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,0.48
HTTP Chunks Sent,1.00,1.00,1.00,664.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,664.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.90,77.60,78.05,51728.12,77.78,77.81,77.83,77.86,77.90,77.95,77.98,78.00,78.02,0.06
HTTP Data Sent (KB),17.62,16.12,18.93,11700.65,16.49,16.78,17.06,17.35,17.57,17.93,18.24,18.49,18.75,0.48
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2182.17,2111.82,2772.63,1448957.90,2162.94,2173.31,2174.34,2175.88,2177.21,2178.78,2183.31,2185.24,2315.23,48.13
HTTP Receiving (ms),1894.97,1836.33,1900.07,1258259.04,1880.44,1891.84,1892.92,1894.23,1895.37,1896.55,1897.64,1898.44,1899.67,4.51
HTTP Sending (ms),0.16,0.13,0.22,105.01,0.13,0.13,0.13,0.15,0.16,0.17,0.17,0.17,0.19,0.01
HTTP Total Time (ms),2182.17,2111.82,2772.63,1448957.90,2162.94,2173.31,2174.34,2175.88,2177.21,2178.78,2183.31,2185.24,2315.23,48.13
HTTP Waiting (TTFB) (ms),287.04,258.11,875.46,190593.86,275.51,279.24,279.97,280.65,281.54,282.67,288.66,289.30,422.02,47.77
Input Sequence Length (tokens),4096.01,4096.00,4097.00,2719749.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,0.09
Inter Chunk Latency (ms),7.43,0.00,37.00,1258013.50,6.77,7.12,7.21,7.32,7.43,7.55,7.65,7.72,7.99,0.31
Inter Token Latency (ms),7.43,7.20,7.50,4933.59,7.37,7.42,7.42,7.43,7.43,7.44,7.44,7.44,7.45,0.02
OSL Mismatch Diff % (%),-0.00,-0.78,0.00,-2.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
Output Sequence Length (tokens),255.99,254.00,256.00,169977.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.14
Output Token Count (tokens),255.99,254.00,256.00,169977.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.14
Output Token Throughput Per User (tokens/sec/user),134.59,133.42,138.90,89366.68,134.25,134.34,134.40,134.48,134.56,134.64,134.74,134.83,135.63,0.34
Prefill Throughput Per User (tokens/sec/user),14407.27,4677.21,15853.14,9566429.85,9716.70,14146.72,14179.21,14477.60,14536.73,14583.59,14617.90,14657.86,14853.96,915.41
Request Latency (ms),2181.87,2111.60,2772.31,1448759.89,2162.58,2172.89,2174.04,2175.57,2176.93,2178.49,2183.08,2184.97,2315.12,48.14
Time to First Output Token (ms),287.27,258.37,875.74,190746.39,275.75,279.44,280.20,280.87,281.77,282.92,288.87,289.54,422.24,47.77
Time to First Token (ms),287.27,258.37,875.74,190746.39,275.75,279.44,280.20,280.87,281.77,282.92,288.87,289.54,422.24,47.77
Time to Second Token (ms),7.34,2.96,9.55,4871.07,6.82,7.01,7.06,7.18,7.33,7.47,7.60,7.71,8.31,0.34

Metric,Value
Benchmark Duration (sec),181.94
Good Request Count,664.00
GoodRequestFraction (ratio),1.00
Goodput (requests/sec),3.65
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),934.24
Request Count,664.00
Request Throughput (requests/sec),3.65
Total Input Sequence Length (tokens),2719749.00
Total Output Sequence Length (tokens),169977.00
Total Output Tokens (tokens),169977.00
Total Token Throughput (tokens/sec),15882.75


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
