Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),90.70,90.29,91.47,5804.81,90.29,90.37,90.42,90.49,90.59,90.95,91.15,91.23,91.33,0.29
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.98,256.00,257.00,16447.00,256.63,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,0.12
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.93,77.82,78.05,4987.42,77.83,77.85,77.87,77.90,77.93,77.95,77.99,78.00,78.03,0.05
HTTP Data Sent (KB),69.58,65.92,73.10,4452.87,66.29,67.17,67.58,68.72,69.70,70.35,71.38,72.14,72.94,1.46
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2822.68,2798.68,2835.49,180651.46,2803.19,2806.26,2808.77,2814.73,2826.34,2829.19,2831.45,2832.98,2835.30,8.92
HTTP Receiving (ms),1753.97,1750.83,1757.33,112253.96,1751.18,1751.93,1752.26,1752.98,1754.09,1754.59,1755.32,1755.72,1757.16,1.26
HTTP Sending (ms),0.14,0.12,0.16,8.92,0.13,0.13,0.13,0.14,0.14,0.14,0.15,0.15,0.15,0.01
HTTP Total Time (ms),2822.68,2798.68,2835.49,180651.46,2803.19,2806.26,2808.77,2814.73,2826.34,2829.19,2831.45,2832.98,2835.30,8.92
HTTP Waiting (TTFB) (ms),1068.57,1046.33,1080.82,68388.58,1049.49,1053.81,1055.01,1060.28,1072.16,1074.97,1076.55,1077.96,1079.74,8.73
Input Sequence Length (tokens),16384.00,16384.00,16384.00,1048576.00,16384.00,16384.00,16384.00,16384.00,16384.00,16384.00,16384.00,16384.00,16384.00,0.00
Inter Chunk Latency (ms),6.88,0.00,12.09,112239.05,6.67,6.77,6.82,6.85,6.87,6.90,6.94,6.98,7.31,0.19
Inter Token Latency (ms),6.88,6.87,6.89,440.15,6.87,6.87,6.87,6.87,6.88,6.88,6.88,6.88,6.89,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,16384.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,16384.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),145.40,145.14,145.66,9305.86,145.16,145.26,145.30,145.35,145.39,145.48,145.54,145.57,145.64,0.10
Prefill Throughput Per User (tokens/sec/user),15330.69,15155.97,15655.37,981164.32,15171.03,15196.09,15216.11,15238.46,15278.53,15449.50,15526.57,15544.45,15608.40,126.02
Request Latency (ms),2822.51,2798.60,2835.35,180640.81,2803.10,2806.10,2808.62,2814.59,2826.03,2828.90,2831.22,2832.89,2835.19,8.89
Time to First Output Token (ms),1068.78,1046.54,1081.03,68401.76,1049.70,1054.01,1055.22,1060.49,1072.35,1075.17,1076.75,1078.17,1079.95,8.73
Time to First Token (ms),1068.78,1046.54,1081.03,68401.76,1049.70,1054.01,1055.22,1060.49,1072.35,1075.17,1076.75,1078.17,1079.95,8.73
Time to Second Token (ms),6.75,5.91,6.97,432.08,6.23,6.59,6.63,6.69,6.77,6.82,6.88,6.95,6.96,0.15

Metric,Value
Benchmark Duration (sec),180.91
Good Request Count,64.00
GoodRequestFraction (ratio),1.00
Goodput (requests/sec),0.35
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),90.57
Request Count,64.00
Request Throughput (requests/sec),0.35
Total Input Sequence Length (tokens),1048576.00
Total Output Sequence Length (tokens),16384.00
Total Output Tokens (tokens),16384.00
Total Token Throughput (tokens/sec),5886.84


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
