Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),6.03,1.69,12.16,374.16,1.69,2.02,2.36,3.30,5.42,8.25,11.44,12.14,12.15,3.26
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,796.74,256.00,1025.00,49398.00,256.00,257.00,257.00,510.25,1023.00,1024.00,1024.00,1025.00,1025.00,334.50
HTTP Chunks Sent,1.00,1.00,1.00,62.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),3.93,0.00,7.56,243.59,0.00,0.00,0.00,0.73,4.45,5.50,7.00,7.19,7.50,2.56
HTTP Connection Overhead (ms),6.35,0.00,13.80,393.51,0.00,0.00,0.00,0.84,4.83,10.40,13.03,13.41,13.62,4.87
HTTP Connection Reused (ratio),0.26,0.00,1.00,16.00,0.00,0.00,0.00,0.00,0.00,0.75,1.00,1.00,1.00,0.44
HTTP Data Received (KB),242.57,77.95,312.42,15039.19,77.96,77.98,78.00,155.41,311.47,311.87,312.20,312.34,312.39,101.93
HTTP Data Sent (KB),78.00,4.19,428.98,4836.23,4.21,4.39,4.46,16.81,66.82,71.76,144.46,277.07,418.40,93.65
HTTP DNS Lookup (ms),2.42,0.00,6.28,149.92,0.00,0.00,0.00,0.00,0.00,4.93,6.03,6.12,6.26,2.60
HTTP Duration (excl. conn) (ms),208450.06,21047.19,602573.92,12923903.71,21070.16,21085.08,22372.28,63733.54,178730.58,309595.97,433938.00,506764.56,602426.45,160350.40
HTTP Receiving (ms),72718.79,15726.88,110829.08,4508565.11,17384.10,18460.85,18785.25,35275.90,88365.28,104435.03,108222.58,108726.20,110828.20,35422.95
HTTP Sending (ms),4.16,0.20,7.89,257.74,0.20,0.20,0.21,0.99,4.72,5.64,7.24,7.44,7.78,2.56
HTTP Total Time (ms),208456.41,21047.19,602580.60,12924297.23,21070.16,21085.08,22380.85,63746.34,178732.80,309606.74,433942.44,506776.81,602433.29,160350.89
HTTP Waiting (TTFB) (ms),135727.11,327.53,579493.17,8415080.86,1052.32,1515.94,3923.86,14403.90,67899.72,208262.38,358392.73,457846.23,559091.03,150664.35
Input Sequence Length (tokens),18283.37,1024.00,98304.00,1133569.00,1024.00,1024.00,1024.00,4096.00,16384.00,16384.00,32768.00,65536.00,98304.00,21987.67
Inter Chunk Latency (ms),91.49,17.76,9390.91,4508531.80,22.34,22.84,26.65,35.74,38.33,39.14,39.68,39.96,2663.74,411.91
Inter Token Latency (ms),89.68,22.60,122.16,5560.35,37.26,56.76,72.32,74.48,95.59,104.75,107.83,108.53,115.30,18.61
OSL Mismatch Diff % (%),-0.24,-3.32,0.00,-14.75,-2.55,-0.68,-0.39,-0.27,-0.15,0.00,0.00,0.00,0.00,0.49
Output Sequence Length (tokens),794.55,256.00,1024.00,49262.00,256.00,256.00,256.00,509.25,1021.00,1022.00,1023.00,1024.00,1024.00,333.62
Output Token Count (tokens),794.55,256.00,1024.00,49262.00,256.00,256.00,256.00,509.25,1021.00,1022.00,1023.00,1024.00,1024.00,333.62
Output Token Throughput Per User (tokens/sec/user),12.00,8.19,44.24,743.74,8.69,9.21,9.27,9.55,10.46,13.43,13.83,17.62,30.34,4.84
Prefill Throughput Per User (tokens/sec/user),257.98,37.27,3123.77,15994.65,56.84,79.85,88.58,110.66,163.51,214.89,637.57,675.45,1854.00,411.60
Request Latency (ms),208449.63,21046.94,602573.82,12923877.14,21069.69,21084.55,22371.55,63733.34,178730.30,309595.10,433937.10,506763.21,602426.28,160350.27
Time to First Output Token (ms),135731.38,327.81,579497.06,8415345.34,1052.61,1516.23,3928.70,14405.93,67902.32,208269.12,358397.09,457853.24,559094.97,150664.61
Time to First Token (ms),135731.38,327.81,579497.06,8415345.34,1052.61,1516.23,3928.70,14405.93,67902.32,208269.12,358397.09,457853.24,559094.97,150664.61
Time to Second Token (ms),1921.72,22.93,5487.56,119146.62,25.26,28.27,33.21,36.65,2413.94,2648.80,2852.26,5487.20,5487.46,1590.06

Metric,Value
Benchmark Duration (sec),602.58
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),81.75
Request Count,62.00
Request Throughput (requests/sec),0.10
Total Input Sequence Length (tokens),1133569.00
Total Output Sequence Length (tokens),49262.00
Total Output Tokens (tokens),49262.00
Total Token Throughput (tokens/sec),1962.95


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
