Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),148.47,143.19,148.88,15588.94,148.12,148.33,148.36,148.42,148.49,148.61,148.70,148.75,148.79,0.54
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,253.50,103.00,255.00,26617.00,250.16,255.00,255.00,255.00,255.00,255.00,255.00,255.00,255.00,14.77
HTTP Chunks Sent,1.00,1.00,1.00,105.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,105.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.89,77.74,78.02,8178.24,77.77,77.80,77.82,77.85,77.89,77.92,77.96,77.99,78.02,0.06
HTTP Data Sent (KB),4.54,4.14,4.95,476.67,4.17,4.28,4.35,4.45,4.54,4.61,4.77,4.80,4.91,0.16
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1724.46,1719.61,1787.82,181068.50,1720.68,1721.14,1721.75,1722.77,1724.15,1724.94,1725.69,1726.06,1728.40,6.41
HTTP Receiving (ms),1623.23,1618.77,1651.65,170438.95,1619.12,1619.97,1620.41,1621.75,1623.22,1624.46,1625.20,1625.41,1626.50,3.30
HTTP Sending (ms),0.15,0.13,0.17,16.14,0.13,0.14,0.14,0.15,0.15,0.16,0.16,0.17,0.17,0.01
HTTP Total Time (ms),1724.46,1719.61,1787.82,181068.50,1720.68,1721.14,1721.75,1722.77,1724.15,1724.94,1725.69,1726.06,1728.40,6.41
HTTP Waiting (TTFB) (ms),101.08,97.49,136.02,10613.41,97.72,98.31,98.79,99.59,100.61,102.21,103.17,103.79,104.22,3.79
Input Sequence Length (tokens),1024.00,1024.00,1024.00,107520.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),6.36,0.00,44.43,170417.15,0.00,6.30,6.36,6.40,6.43,6.45,6.49,6.54,6.67,1.43
Inter Token Latency (ms),6.36,6.35,6.48,668.30,6.35,6.35,6.35,6.36,6.36,6.37,6.37,6.37,6.38,0.01
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,26880.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,26880.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),157.12,154.39,157.54,16497.09,156.80,156.90,156.93,157.00,157.11,157.26,157.39,157.43,157.51,0.32
Prefill Throughput Per User (tokens/sec/user),10119.59,7515.80,10479.77,1062556.54,9804.16,9844.95,9903.31,9999.08,10153.84,10260.10,10343.06,10391.72,10458.50,302.79
Request Latency (ms),1724.32,1719.47,1787.89,181053.91,1720.60,1721.05,1721.63,1722.66,1724.06,1724.85,1725.57,1725.89,1728.32,6.43
Time to First Output Token (ms),101.30,97.71,136.25,10636.76,97.91,98.54,99.00,99.80,100.85,102.41,103.40,104.01,104.45,3.79
Time to First Token (ms),101.30,97.71,136.25,10636.76,97.91,98.54,99.00,99.80,100.85,102.41,103.40,104.01,104.45,3.79
Time to Second Token (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),181.45
Good Request Count,105.00
GoodRequestFraction (ratio),1.00
Goodput (requests/sec),0.58
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),148.14
Request Count,105.00
Request Throughput (requests/sec),0.58
Total Input Sequence Length (tokens),107520.00
Total Output Sequence Length (tokens),26880.00
Total Output Tokens (tokens),26880.00
Total Token Throughput (tokens/sec),740.69


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
