Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),93.11,5.09,122.07,62759.26,6.69,43.21,54.94,78.45,102.31,113.17,119.00,120.57,121.56,26.05
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,252.45,186.00,257.00,170152.00,234.46,241.00,245.00,248.00,257.00,257.00,257.00,257.00,257.00,6.78
HTTP Chunks Sent,1.00,1.00,1.00,674.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,674.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),78.21,57.98,79.84,52713.48,72.65,74.65,75.99,76.80,79.54,79.62,79.67,79.69,79.74,2.09
HTTP Data Sent (KB),275.59,265.87,288.28,185744.83,267.88,269.69,270.81,272.92,274.98,277.95,281.48,282.84,285.10,3.97
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3587.44,2097.60,50322.60,2417932.41,2106.73,2124.55,2151.65,2262.82,2503.05,3263.66,4660.10,5925.87,38257.92,4840.86
HTTP Receiving (ms),1572.66,1437.95,2276.14,1059975.18,1441.18,1446.30,1450.55,1458.13,1526.62,1631.80,1776.29,1885.37,2058.62,145.66
HTTP Sending (ms),0.15,0.13,0.26,103.56,0.13,0.13,0.14,0.14,0.14,0.17,0.17,0.18,0.22,0.02
HTTP Total Time (ms),3587.44,2097.60,50322.60,2417932.41,2106.73,2124.55,2151.65,2262.82,2503.05,3263.66,4660.10,5925.87,38257.92,4840.86
HTTP Waiting (TTFB) (ms),2014.62,642.65,48870.09,1357853.67,653.66,660.23,666.78,706.77,884.94,1742.40,3010.30,4424.52,36809.19,4846.34
Input Sequence Length (tokens),64549.11,64547.00,64551.00,43506100.00,64548.00,64548.00,64549.00,64549.00,64549.00,64549.00,64550.00,64550.00,64551.00,0.59
Inter Chunk Latency (ms),6.28,0.00,621.46,1059263.85,5.07,5.62,5.64,5.68,5.74,6.51,6.75,7.66,11.35,4.70
Inter Token Latency (ms),6.16,5.62,8.92,4153.98,5.65,5.67,5.68,5.72,5.98,6.39,6.96,7.38,8.07,0.57
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,172544.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,172544.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),163.49,112.08,178.02,110191.27,123.94,135.46,143.61,156.48,167.11,174.98,175.93,176.47,177.01,13.42
Prefill Throughput Per User (tokens/sec/user),64510.77,1320.82,100405.16,43480261.68,1753.82,14588.22,21440.67,37041.78,72922.86,91300.26,96778.29,97735.07,98714.54,29067.97
Request Latency (ms),3586.46,2097.22,50322.28,2417272.14,2106.03,2123.21,2151.21,2262.01,2502.29,3263.34,4659.22,5925.47,38257.60,4840.92
Time to First Output Token (ms),2014.85,642.89,48870.30,1358008.29,653.90,660.45,666.98,706.99,885.17,1742.61,3010.59,4424.75,36809.42,4846.34
Time to First Token (ms),2014.85,642.89,48870.30,1358008.29,653.90,660.45,666.98,706.99,885.17,1742.61,3010.59,4424.75,36809.42,4846.34
Time to Second Token (ms),12.25,0.00,619.81,8256.98,6.49,6.67,6.77,6.92,7.11,7.93,8.68,9.42,132.53,41.50
Usage Completion Tokens (tokens),256.00,256.00,256.00,172544.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Usage Prompt Cache Read Tokens (tokens),48082.17,44800.00,48384.00,29810944.00,45056.00,45056.00,46976.00,48384.00,48384.00,48384.00,48384.00,48384.00,48384.00,901.85
Usage Prompt Tokens (tokens),64549.11,64547.00,64551.00,43506100.00,64548.00,64548.00,64549.00,64549.00,64549.00,64549.00,64550.00,64550.00,64551.00,0.59
Usage Total Tokens (tokens),64805.11,64803.00,64807.00,43678644.00,64804.00,64804.00,64805.00,64805.00,64805.00,64805.00,64806.00,64806.00,64807.00,0.59

Metric,Value
Benchmark Duration (sec),306.24
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),563.43
Overall Usage Prompt Cache Read % (%),68.52
Request Count,674.00
Request Throughput (requests/sec),2.20
Total Input Sequence Length (tokens),43506100.00
Total Output Sequence Length (tokens),172544.00
Total Output Tokens (tokens),172544.00
Total Token Throughput (tokens/sec),142629.70
Total Usage Completion Tokens (tokens),172544.00
Total Usage Prompt Cache Read Tokens (tokens),29810944.00
Total Usage Prompt Tokens (tokens),43506100.00
Total Usage Total Tokens (tokens),43678644.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
