Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),129.87,108.81,135.32,190385.13,118.52,129.98,130.03,130.07,130.10,130.14,130.20,130.22,131.20,2.06
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.76,103.00,257.00,376407.00,255.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,5.69
HTTP Chunks Sent,1.00,1.00,1.00,1466.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,1466.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.89,77.68,78.08,114187.62,77.76,77.80,77.81,77.85,77.89,77.93,77.96,77.98,78.03,0.06
HTTP Data Sent (KB),4.56,3.93,4.95,6683.65,4.17,4.29,4.37,4.47,4.57,4.65,4.76,4.81,4.91,0.16
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1972.05,1891.87,2352.97,2891028.31,1951.31,1966.22,1966.59,1967.35,1967.97,1968.49,1969.13,1969.71,2160.17,36.11
HTTP Receiving (ms),1861.93,1786.72,1868.35,2729594.32,1845.36,1860.73,1861.10,1861.86,1862.45,1863.09,1863.61,1863.90,1864.66,4.86
HTTP Sending (ms),0.14,0.11,0.22,207.87,0.12,0.13,0.13,0.13,0.13,0.16,0.16,0.16,0.18,0.02
HTTP Total Time (ms),1972.05,1891.87,2352.97,2891028.31,1951.31,1966.22,1966.59,1967.35,1967.97,1968.49,1969.13,1969.71,2160.17,36.11
HTTP Waiting (TTFB) (ms),109.98,87.75,490.75,161226.13,103.97,104.32,104.54,104.96,105.38,105.67,105.89,106.11,297.92,35.76
Input Sequence Length (tokens),1024.00,1024.00,1024.00,1501184.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),7.30,0.00,42.40,2729098.13,6.71,6.95,7.03,7.16,7.30,7.44,7.57,7.65,7.89,0.61
Inter Token Latency (ms),7.30,7.01,7.34,10702.58,7.24,7.30,7.30,7.30,7.30,7.30,7.31,7.31,7.31,0.02
OSL Mismatch Diff % (%),-0.00,-0.39,0.00,-3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
Output Sequence Length (tokens),255.99,255.00,256.00,375288.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.07
Output Token Count (tokens),255.99,255.00,256.00,375288.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.07
Output Token Throughput Per User (tokens/sec/user),136.98,136.28,142.73,200808.79,136.76,136.83,136.86,136.89,136.94,136.98,137.04,137.07,138.22,0.37
Prefill Throughput Per User (tokens/sec/user),9572.78,2085.69,11639.09,14033690.97,3436.44,9633.17,9653.23,9671.96,9697.94,9738.28,9775.53,9795.53,9830.66,899.37
Request Latency (ms),1971.78,1891.80,2352.62,2890626.35,1951.21,1965.92,1966.27,1967.05,1967.70,1968.23,1968.80,1969.39,2160.08,36.12
Time to First Output Token (ms),110.18,87.98,490.96,161528.22,104.16,104.54,104.75,105.15,105.59,105.87,106.08,106.30,298.12,35.77
Time to First Token (ms),110.18,87.98,490.96,161528.22,104.16,104.54,104.75,105.15,105.59,105.87,106.08,106.30,298.12,35.77
Time to Second Token (ms),7.17,0.00,8.62,10504.87,6.62,6.80,6.88,7.01,7.17,7.33,7.52,7.62,7.83,0.37

Metric,Value
Benchmark Duration (sec),181.83
Good Request Count,1466.00
GoodRequestFraction (ratio),1.00
Goodput (requests/sec),8.06
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),2063.98
Request Count,1466.00
Request Throughput (requests/sec),8.06
Total Input Sequence Length (tokens),1501184.00
Total Output Sequence Length (tokens),375288.00
Total Output Tokens (tokens),375288.00
Total Token Throughput (tokens/sec),10320.09


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
