Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),70.38,42.19,79.41,27939.99,55.33,62.09,63.55,67.94,71.20,73.24,76.70,77.59,78.64,5.30
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,257.00,257.00,257.00,102029.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,397.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,397.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.93,77.76,78.05,30938.15,77.80,77.83,77.85,77.90,77.94,77.97,77.99,78.01,78.04,0.05
HTTP Data Sent (KB),69.90,65.29,73.66,27750.29,66.73,67.31,68.17,69.12,69.82,70.65,72.06,72.51,73.18,1.46
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3662.05,3224.28,6068.16,1453834.48,3255.71,3300.14,3338.22,3495.51,3596.12,3769.03,4028.18,4124.01,4633.29,327.18
HTTP Receiving (ms),2194.42,1999.97,2286.11,871184.32,2099.07,2118.55,2144.12,2177.44,2210.11,2215.18,2219.53,2235.18,2247.59,36.88
HTTP Sending (ms),0.15,0.13,0.22,60.34,0.13,0.13,0.13,0.14,0.16,0.16,0.17,0.18,0.20,0.02
HTTP Total Time (ms),3662.05,3224.28,6068.16,1453834.48,3255.71,3300.14,3338.22,3495.51,3596.12,3769.03,4028.18,4124.01,4633.29,327.18
HTTP Waiting (TTFB) (ms),1467.48,1102.33,3782.05,582589.82,1107.55,1113.30,1135.72,1296.54,1400.57,1576.54,1830.12,1973.37,2436.47,323.90
Input Sequence Length (tokens),16384.02,16384.00,16385.00,6504454.00,16384.00,16384.00,16384.00,16384.00,16384.00,16384.00,16384.00,16384.00,16385.00,0.12
Inter Chunk Latency (ms),8.60,3.79,12.46,870967.11,7.32,7.94,8.06,8.21,8.67,8.95,9.11,9.19,9.80,0.48
Inter Token Latency (ms),8.60,7.84,8.96,3415.56,8.23,8.31,8.41,8.54,8.66,8.68,8.70,8.76,8.81,0.14
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,101632.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,101632.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),116.27,111.56,127.55,46157.84,113.52,114.11,114.91,115.14,115.41,117.14,118.96,120.41,121.50,2.01
Prefill Throughput Per User (tokens/sec/user),11572.78,4331.81,14859.66,4594393.41,6746.03,8301.98,8951.36,10390.76,11696.45,12634.78,14423.12,14713.87,14789.88,2000.20
Request Latency (ms),3661.58,3223.69,6068.08,1453645.40,3255.54,3299.51,3337.64,3495.37,3595.45,3768.30,4028.06,4123.35,4632.64,327.19
Time to First Output Token (ms),1467.70,1102.58,3782.25,582678.29,1107.78,1113.51,1135.95,1296.74,1400.77,1576.79,1830.34,1973.60,2436.68,323.90
Time to First Token (ms),1467.70,1102.58,3782.25,582678.29,1107.78,1113.51,1135.95,1296.74,1400.77,1576.79,1830.34,1973.60,2436.68,323.90
Time to Second Token (ms),8.66,6.86,10.51,3439.24,7.47,8.09,8.37,8.52,8.68,8.87,8.99,9.04,9.38,0.34

Metric,Value
Benchmark Duration (sec),183.17
Good Request Count,386.00
GoodRequestFraction (ratio),0.97
Goodput (requests/sec),2.11
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),554.84
Request Count,397.00
Request Throughput (requests/sec),2.17
Total Input Sequence Length (tokens),6504454.00
Total Output Sequence Length (tokens),101632.00
Total Output Tokens (tokens),101632.00
Total Token Throughput (tokens/sec),36064.58


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
