Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),47.81,6.51,97.38,126700.09,8.16,10.55,16.15,36.47,47.72,61.31,73.43,79.98,88.56,19.41
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,252.30,183.00,257.00,668595.00,229.00,239.00,244.00,248.00,257.00,257.00,257.00,257.00,257.00,6.89
HTTP Chunks Sent,1.00,1.00,1.00,2650.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.57,0.00,1011.26,4169.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.06,39.17
HTTP Connection Overhead (ms),1.59,0.00,1014.91,4218.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.06,39.24
HTTP Connection Reused (ratio),0.98,0.00,1.00,2602.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.13
HTTP Data Received (KB),78.17,56.61,80.61,207158.08,71.02,74.09,75.62,76.81,79.55,79.63,79.68,79.70,79.74,2.13
HTTP Data Sent (KB),275.60,264.56,288.28,730352.90,268.22,269.90,271.01,273.11,275.08,277.86,281.26,282.76,284.80,3.79
HTTP DNS Lookup (ms),0.02,0.00,3.78,49.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24
HTTP Duration (excl. conn) (ms),7359.03,2628.95,39296.09,19501433.26,2893.20,3201.38,3487.34,4177.75,5365.54,7020.60,15853.14,24274.07,31364.38,6202.69
HTTP Receiving (ms),1982.57,1445.59,2843.04,5253807.79,1510.79,1641.25,1711.23,1841.10,1975.71,2118.24,2259.53,2341.89,2546.68,215.63
HTTP Sending (ms),1.73,0.11,1011.58,4591.08,0.13,0.13,0.14,0.14,0.16,0.17,0.18,0.21,2.34,39.18
HTTP Total Time (ms),7360.62,2631.00,39296.09,19505651.78,2893.20,3201.38,3487.34,4177.75,5365.54,7020.60,15853.14,24274.07,31364.38,6203.45
HTTP Waiting (TTFB) (ms),5374.73,816.62,37549.66,14243034.39,1030.01,1228.47,1509.27,2180.43,3380.53,5077.38,13868.15,22370.25,29275.37,6206.87
Input Sequence Length (tokens),64549.12,64547.00,64552.00,171055162.00,64548.00,64548.00,64549.00,64549.00,64549.00,64549.00,64550.00,64550.00,64551.00,0.60
Inter Chunk Latency (ms),7.91,0.00,427.90,5249781.15,5.54,5.75,6.46,6.69,7.74,8.22,9.56,10.00,15.01,2.84
Inter Token Latency (ms),7.77,5.67,11.15,20587.38,5.92,6.43,6.71,7.21,7.74,8.30,8.86,9.18,9.98,0.85
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,678400.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,678400.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),130.26,89.72,176.45,345180.70,100.23,108.95,112.92,120.44,129.17,138.60,149.04,155.51,168.87,14.30
Prefill Throughput Per User (tokens/sec/user),22334.34,1719.05,79023.58,59185999.00,2204.91,2885.46,4654.35,12712.67,19092.94,29600.48,42760.58,52534.10,62655.44,14225.39
Request Latency (ms),7357.59,2628.79,39295.71,19497615.68,2890.55,3200.81,3486.10,4175.83,5364.88,7019.54,15853.02,24273.51,31363.73,6202.78
Time to First Output Token (ms),5376.54,816.83,37549.91,14247834.53,1030.22,1228.71,1509.54,2180.68,3380.75,5077.59,13868.36,22370.48,29275.61,6207.43
Time to First Token (ms),5376.54,816.83,37549.91,14247834.53,1030.22,1228.71,1509.54,2180.68,3380.75,5077.59,13868.36,22370.48,29275.61,6207.43
Time to Second Token (ms),9.51,0.00,63.79,25196.50,6.73,7.13,7.93,8.28,9.42,9.97,11.36,11.74,12.99,2.11
Usage Completion Tokens (tokens),256.00,256.00,256.00,678400.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Usage Prompt Cache Read Tokens (tokens),48211.04,30208.00,64512.00,123468480.00,45056.00,46144.00,47168.00,47936.00,48256.00,48384.00,48384.00,48384.00,64512.00,2136.09
Usage Prompt Tokens (tokens),64549.12,64547.00,64552.00,171055162.00,64548.00,64548.00,64549.00,64549.00,64549.00,64549.00,64550.00,64550.00,64551.00,0.60
Usage Total Tokens (tokens),64805.12,64803.00,64808.00,171733562.00,64804.00,64804.00,64805.00,64805.00,64805.00,64805.00,64806.00,64806.00,64807.00,0.60

Metric,Value
Benchmark Duration (sec),322.47
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),2103.76
Overall Usage Prompt Cache Read % (%),72.18
Request Count,2650.00
Request Throughput (requests/sec),8.22
Total Input Sequence Length (tokens),171055162.00
Total Output Sequence Length (tokens),678400.00
Total Output Tokens (tokens),678400.00
Total Token Throughput (tokens/sec),532555.90
Total Usage Completion Tokens (tokens),678400.00
Total Usage Prompt Cache Read Tokens (tokens),123468480.00
Total Usage Prompt Tokens (tokens),171055162.00
Total Usage Total Tokens (tokens),171733562.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
