Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),92.92,63.10,114.62,389692.12,77.76,84.44,87.38,92.16,94.43,95.21,95.70,96.50,97.86,4.36
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,252.43,202.00,257.00,1058675.00,204.00,210.00,249.00,257.00,257.00,257.00,257.00,257.00,257.00,13.79
HTTP Chunks Sent,1.00,1.00,1.00,4194.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,4194.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),76.55,61.59,78.08,321047.87,62.02,63.79,75.51,77.83,77.88,77.92,77.96,77.98,78.02,4.11
HTTP Data Sent (KB),4.56,3.93,4.95,19128.11,4.17,4.29,4.37,4.47,4.57,4.65,4.77,4.84,4.91,0.16
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2762.86,2234.85,4057.41,11587430.29,2616.47,2653.35,2675.46,2689.43,2711.52,2777.99,2930.18,3032.37,3292.86,151.97
HTTP Receiving (ms),2557.32,1973.18,3116.38,10725380.85,2371.89,2512.66,2527.95,2550.33,2560.10,2564.76,2567.44,2568.99,2898.64,64.85
HTTP Sending (ms),0.15,0.07,0.27,614.84,0.10,0.12,0.12,0.13,0.14,0.16,0.17,0.18,0.21,0.02
HTTP Total Time (ms),2762.86,2234.85,4057.41,11587430.29,2616.47,2653.35,2675.46,2689.43,2711.52,2777.99,2930.18,3032.37,3292.86,151.97
HTTP Waiting (TTFB) (ms),205.40,89.58,1521.35,861434.60,123.45,125.07,125.67,126.45,147.56,215.84,367.98,473.62,820.99,150.94
Input Sequence Length (tokens),1024.00,1024.00,1024.00,4294656.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),10.20,0.00,565.58,10722195.14,8.39,8.95,9.17,9.57,10.00,10.44,10.85,11.09,11.67,9.95
Inter Token Latency (ms),10.03,7.74,12.19,42048.61,9.30,9.85,9.91,10.00,10.04,10.06,10.07,10.07,11.37,0.25
OSL Mismatch Diff % (%),-0.00,-0.78,0.00,-7.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
Output Sequence Length (tokens),256.00,254.00,256.00,1073644.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.07
Output Token Count (tokens),256.00,254.00,256.00,1073644.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.07
Output Token Throughput Per User (tokens/sec/user),99.80,82.07,129.25,418580.36,87.97,99.29,99.35,99.45,99.63,100.01,100.90,101.51,107.52,2.52
Prefill Throughput Per User (tokens/sec/user),6227.89,672.98,11403.56,26119784.21,1247.07,2161.08,2781.01,4740.05,6928.79,8084.53,8134.41,8174.78,8281.31,2110.68
Request Latency (ms),2762.16,2233.54,4056.98,11584516.22,2616.01,2652.76,2674.69,2688.84,2710.98,2777.18,2929.59,3031.80,3292.37,151.89
Time to First Output Token (ms),205.61,89.80,1521.60,862321.08,123.65,125.26,125.88,126.66,147.79,216.03,368.21,473.84,821.12,150.94
Time to First Token (ms),205.61,89.80,1521.60,862321.08,123.65,125.26,125.88,126.66,147.79,216.03,368.21,473.84,821.12,150.94
Time to Second Token (ms),9.62,0.00,548.73,40339.19,0.00,5.08,8.80,9.43,9.93,10.37,10.78,11.03,11.75,8.60

Metric,Value
Benchmark Duration (sec),182.32
Good Request Count,4194.00
GoodRequestFraction (ratio),1.00
Goodput (requests/sec),23.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),5888.81
Request Count,4194.00
Request Throughput (requests/sec),23.00
Total Input Sequence Length (tokens),4294656.00
Total Output Sequence Length (tokens),1073644.00
Total Output Tokens (tokens),1073644.00
Total Token Throughput (tokens/sec),29444.50


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
