Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),21.70,16.69,104.60,21375.88,19.02,20.43,20.47,20.72,20.84,21.03,21.19,21.23,49.95,5.93
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,257.00,257.00,257.00,253145.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,985.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,985.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.91,77.76,78.03,76741.93,77.78,77.81,77.85,77.88,77.91,77.95,77.97,77.99,78.02,0.05
HTTP Data Sent (KB),35.06,32.26,37.28,34532.38,33.16,33.55,34.06,34.61,35.04,35.53,36.15,36.50,37.17,0.86
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),12096.88,2447.96,15339.69,11915426.03,5129.83,12059.10,12080.95,12172.74,12283.11,12358.58,12505.69,12528.94,13458.41,1197.93
HTTP Receiving (ms),2453.61,1898.32,2533.69,2416808.97,2251.76,2411.54,2412.60,2417.04,2446.53,2498.12,2522.31,2527.00,2530.73,56.86
HTTP Sending (ms),0.16,0.10,0.26,152.74,0.11,0.13,0.13,0.14,0.16,0.17,0.18,0.20,0.21,0.02
HTTP Total Time (ms),12096.88,2447.96,15339.69,11915426.03,5129.83,12059.10,12080.95,12172.74,12283.11,12358.58,12505.69,12528.94,13458.41,1197.93
HTTP Waiting (TTFB) (ms),9643.11,549.54,12924.87,9498464.32,2788.70,9644.87,9666.62,9736.37,9831.17,9913.32,9997.57,10011.97,11022.41,1170.58
Input Sequence Length (tokens),8192.01,8192.00,8193.00,8069128.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.09
Inter Chunk Latency (ms),9.62,2.85,17.77,2416295.51,8.16,8.85,9.08,9.31,9.54,9.91,10.38,10.54,11.01,0.56
Inter Token Latency (ms),9.62,7.44,9.93,9475.67,8.83,9.46,9.46,9.48,9.59,9.79,9.89,9.91,9.92,0.22
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,252160.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,252160.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),104.01,100.66,134.37,102450.75,100.78,100.93,101.12,102.12,104.25,105.52,105.72,105.76,113.27,2.62
Prefill Throughput Per User (tokens/sec/user),913.78,633.80,14903.15,900073.12,743.25,818.24,819.38,826.34,833.25,841.36,847.43,849.34,2943.97,721.88
Request Latency (ms),12096.43,2447.40,15339.26,11914983.28,5129.86,12058.52,12080.43,12172.17,12282.56,12358.14,12505.28,12528.80,13457.99,1197.92
Time to First Output Token (ms),9643.34,549.68,12925.15,9498687.77,2789.03,9645.16,9666.90,9736.57,9831.37,9913.58,9997.82,10012.18,11022.66,1170.58
Time to First Token (ms),9643.34,549.68,12925.15,9498687.77,2789.03,9645.16,9666.90,9736.57,9831.37,9913.58,9997.82,10012.18,11022.66,1170.58
Time to Second Token (ms),9.69,6.54,13.57,9543.57,8.14,8.97,9.12,9.32,9.56,10.10,10.38,10.51,11.67,0.62

Metric,Value
Benchmark Duration (sec),191.89
Good Request Count,6.00
GoodRequestFraction (ratio),0.01
Goodput (requests/sec),0.03
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1314.06
Request Count,985.00
Request Throughput (requests/sec),5.13
Total Input Sequence Length (tokens),8069128.00
Total Output Sequence Length (tokens),252160.00
Total Output Tokens (tokens),252160.00
Total Token Throughput (tokens/sec),43364.14


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
