Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),15.61,3.42,104.30,30795.07,3.93,4.97,6.31,12.75,15.02,17.66,20.29,22.88,53.23,8.32
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,252.21,189.00,257.00,497614.00,226.72,240.00,245.00,248.00,257.00,257.00,257.00,257.00,257.00,7.59
HTTP Chunks Sent,1.00,1.00,1.00,1973.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),22.89,0.00,5007.13,45170.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.88,1011.38,250.58
HTTP Connection Overhead (ms),25.57,0.00,10012.32,50446.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.88,1011.38,317.54
HTTP Connection Reused (ratio),0.94,0.00,1.00,1861.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.23
HTTP Data Received (KB),78.13,58.57,79.81,154154.97,70.25,74.24,75.87,76.72,79.53,79.62,79.67,79.69,79.73,2.34
HTTP Data Sent (KB),275.63,264.56,288.28,543824.05,268.14,269.82,271.01,273.19,275.10,277.88,281.38,282.80,284.86,3.82
HTTP DNS Lookup (ms),2.67,0.00,5005.19,5276.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,112.66
HTTP Duration (excl. conn) (ms),20455.83,2455.66,74829.68,40359345.22,4810.10,11191.95,12616.19,14497.23,17042.61,20082.32,40563.08,51511.20,65169.85,12010.70
HTTP Receiving (ms),1810.74,1439.32,2400.92,3572599.00,1450.89,1486.28,1551.28,1657.34,1790.92,1945.36,2085.98,2204.36,2321.29,207.00
HTTP Sending (ms),23.05,0.10,5007.44,45484.82,0.12,0.13,0.13,0.14,0.16,0.17,0.21,2.00,1011.48,250.59
HTTP Total Time (ms),20481.39,2455.66,74829.68,40409791.88,4820.95,11193.46,12640.07,14521.17,17066.88,20102.94,40563.08,51511.20,65169.85,12015.99
HTTP Waiting (TTFB) (ms),18622.03,947.62,73390.22,36741261.40,2948.84,9215.65,10691.44,12654.08,15246.92,18264.28,38548.21,49600.53,63724.26,12034.75
Input Sequence Length (tokens),64549.12,64547.00,64552.00,127355421.00,64548.00,64548.00,64549.00,64549.00,64549.00,64549.00,64550.00,64550.00,64551.00,0.59
Inter Chunk Latency (ms),7.23,0.00,490.14,3570150.16,5.17,5.66,5.71,6.46,6.70,7.77,8.41,9.48,13.06,2.85
Inter Token Latency (ms),7.10,5.63,9.41,14000.59,5.69,5.83,6.08,6.50,7.02,7.63,8.17,8.64,9.08,0.81
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,505088.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,505088.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),142.74,106.26,177.71,281621.20,110.19,115.75,122.34,131.13,142.49,153.95,164.48,171.65,175.79,16.03
Prefill Throughput Per User (tokens/sec/user),4697.26,879.53,68096.19,9267690.06,1012.94,1301.36,1667.31,3534.13,4229.39,5093.54,6016.96,6992.59,21867.84,4360.57
Request Latency (ms),20454.67,2454.42,74829.26,40357055.27,4809.56,11191.20,12615.85,14496.89,17042.30,20081.93,40562.60,51510.50,65167.41,12010.71
Time to First Output Token (ms),18645.16,947.91,73390.43,36786905.11,2953.81,9231.12,10727.70,12672.72,15262.01,18264.48,38714.08,49600.79,63724.52,12033.89
Time to First Token (ms),18645.16,947.91,73390.43,36786905.11,2953.81,9231.12,10727.70,12672.72,15262.01,18264.48,38714.08,49600.79,63724.52,12033.89
Time to Second Token (ms),8.62,0.17,18.62,16998.76,6.07,6.88,7.00,7.88,8.23,9.39,9.98,11.14,11.78,1.36
Usage Completion Tokens (tokens),256.00,256.00,256.00,505088.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Usage Prompt Cache Read Tokens (tokens),47280.44,320.00,48384.00,69218560.00,18496.00,44864.00,45760.00,48384.00,48384.00,48384.00,48384.00,48384.00,48384.00,4739.09
Usage Prompt Tokens (tokens),64549.12,64547.00,64552.00,127355421.00,64548.00,64548.00,64549.00,64549.00,64549.00,64549.00,64550.00,64550.00,64551.00,0.59
Usage Total Tokens (tokens),64805.12,64803.00,64808.00,127860509.00,64804.00,64804.00,64805.00,64805.00,64805.00,64805.00,64806.00,64806.00,64807.00,0.59

Metric,Value
Benchmark Duration (sec),354.53
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1424.67
Overall Usage Prompt Cache Read % (%),54.35
Request Count,1973.00
Request Throughput (requests/sec),5.57
Total Input Sequence Length (tokens),127355421.00
Total Output Sequence Length (tokens),505088.00
Total Output Tokens (tokens),505088.00
Total Token Throughput (tokens/sec),360647.11
Total Usage Completion Tokens (tokens),505088.00
Total Usage Prompt Cache Read Tokens (tokens),69218560.00
Total Usage Prompt Tokens (tokens),127355421.00
Total Usage Total Tokens (tokens),127860509.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
