Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),12.64,9.80,108.04,28323.88,10.60,11.07,11.12,11.20,11.26,11.34,11.42,18.91,47.46,6.83
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,257.00,257.00,257.00,575680.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,2240.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,2240.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.90,77.73,78.07,174501.30,77.78,77.81,77.83,77.86,77.90,77.94,77.97,78.00,78.04,0.06
HTTP Data Sent (KB),17.61,16.12,18.93,39448.49,16.44,16.76,17.06,17.34,17.57,17.90,18.24,18.49,18.75,0.48
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),21856.36,2369.64,26133.27,48958241.33,5395.11,13541.51,22408.10,22584.77,22742.70,22864.89,23024.55,23133.83,24152.67,3389.69
HTTP Receiving (ms),2944.36,1938.57,3158.16,6595369.40,2562.84,2797.95,2799.77,2802.29,2807.68,3149.21,3151.88,3153.06,3155.71,179.27
HTTP Sending (ms),0.15,0.07,0.27,331.79,0.08,0.09,0.12,0.13,0.15,0.16,0.18,0.20,0.21,0.03
HTTP Total Time (ms),21856.36,2369.64,26133.27,48958241.33,5395.11,13541.51,22408.10,22584.77,22742.70,22864.89,23024.55,23133.83,24152.67,3389.69
HTTP Waiting (TTFB) (ms),18911.85,430.97,23323.71,42362540.14,2673.61,10734.07,19333.03,19571.60,19764.67,19974.44,20072.10,20126.06,21343.87,3331.50
Input Sequence Length (tokens),4096.01,4096.00,4097.00,9175057.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,0.09
Inter Chunk Latency (ms),11.54,4.36,18.92,6594037.79,9.16,10.36,10.56,10.89,11.40,12.25,12.71,12.97,13.67,0.93
Inter Token Latency (ms),11.54,7.60,12.38,25859.41,10.05,10.97,10.98,10.99,11.01,12.35,12.36,12.36,12.37,0.70
OSL Mismatch Diff % (%),-0.00,-0.78,0.00,-3.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
Output Sequence Length (tokens),256.00,254.00,256.00,573430.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.09
Output Token Count (tokens),256.00,254.00,256.00,573430.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.09
Output Token Throughput Per User (tokens/sec/user),86.95,80.76,131.56,194768.00,80.82,80.89,80.92,80.99,90.84,91.01,91.10,91.15,99.51,5.42
Prefill Throughput Per User (tokens/sec/user),259.40,175.61,9500.84,581053.66,191.90,203.51,204.06,205.06,207.24,209.28,211.86,381.60,1532.04,366.50
Request Latency (ms),21855.83,2369.41,26132.83,48957059.65,5394.65,13540.83,22407.28,22584.26,22741.91,22864.77,23023.95,23133.01,24152.20,3389.68
Time to First Output Token (ms),18912.06,431.12,23323.85,42363021.86,2673.77,10734.25,19333.24,19571.80,19764.90,19974.64,20072.35,20126.30,21344.04,3331.52
Time to First Token (ms),18912.06,431.12,23323.85,42363021.86,2673.77,10734.25,19333.24,19571.80,19764.90,19974.64,20072.35,20126.30,21344.04,3331.52
Time to Second Token (ms),11.41,6.39,18.53,25550.56,8.85,10.27,10.46,10.80,11.27,12.11,12.52,12.74,13.30,0.91

Metric,Value
Benchmark Duration (sec),201.76
Good Request Count,16.00
GoodRequestFraction (ratio),0.01
Goodput (requests/sec),0.08
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),2842.16
Request Count,2240.00
Request Throughput (requests/sec),11.10
Total Input Sequence Length (tokens),9175057.00
Total Output Sequence Length (tokens),573430.00
Total Output Tokens (tokens),573430.00
Total Token Throughput (tokens/sec),48317.67


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
