Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),8.75,6.59,49.74,1662.87,6.97,7.11,7.12,7.13,7.25,7.31,10.11,17.10,36.47,5.79
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.96,253.00,257.00,48823.00,255.89,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,0.33
HTTP Chunks Sent,1.00,1.00,1.00,190.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,190.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.94,77.69,78.06,14809.14,77.79,77.84,77.88,77.91,77.95,77.98,78.01,78.02,78.05,0.06
HTTP Data Sent (KB),139.56,132.88,145.73,26516.87,133.21,134.88,136.06,137.73,139.35,141.60,143.26,144.48,144.96,2.78
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),33166.09,5146.61,38819.81,6301557.10,7096.37,15037.16,25323.28,35037.57,35308.70,35893.83,35949.73,35985.56,36755.54,6625.25
HTTP Receiving (ms),2049.85,2025.09,2107.41,389472.21,2040.87,2043.11,2044.42,2046.29,2048.72,2051.79,2055.93,2057.35,2076.07,7.69
HTTP Sending (ms),0.16,0.13,0.27,30.63,0.13,0.13,0.13,0.14,0.16,0.17,0.20,0.22,0.26,0.03
HTTP Total Time (ms),33166.09,5146.61,38819.81,6301557.10,7096.37,15037.16,25323.28,35037.57,35308.70,35893.83,35949.73,35985.56,36755.54,6625.25
HTTP Waiting (TTFB) (ms),31116.08,3090.11,36768.72,5912054.25,5044.00,12983.83,23272.83,32988.55,33262.41,33843.72,33893.98,33932.00,34704.94,6625.40
Input Sequence Length (tokens),32768.02,32768.00,32769.00,6225924.00,32768.00,32768.00,32768.00,32768.00,32768.00,32768.00,32768.00,32768.00,32769.00,0.14
Inter Chunk Latency (ms),8.04,0.00,34.45,389353.55,6.32,7.36,7.88,8.02,8.07,8.13,8.20,8.27,9.63,0.46
Inter Token Latency (ms),8.04,7.94,8.26,1526.91,8.00,8.01,8.02,8.02,8.03,8.04,8.06,8.07,8.12,0.03
OSL Mismatch Diff % (%),-0.00,-0.39,0.39,-0.39,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
Output Sequence Length (tokens),255.99,255.00,257.00,48639.00,255.89,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.13
Output Token Count (tokens),255.99,255.00,257.00,48639.00,255.89,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.13
Output Token Throughput Per User (tokens/sec/user),124.44,121.02,125.93,23642.86,123.12,123.97,124.09,124.33,124.49,124.64,124.76,124.88,125.00,0.45
Prefill Throughput Per User (tokens/sec/user),1263.14,891.19,10603.38,239996.10,944.33,965.69,966.77,968.21,985.13,993.31,1408.04,2537.83,6659.10,1180.78
Request Latency (ms),33165.54,5146.44,38819.66,6301453.41,7096.28,15036.62,25323.19,35037.35,35308.11,35893.63,35947.90,35985.03,36755.20,6625.19
Time to First Output Token (ms),31116.32,3090.33,36769.01,5912099.86,5044.23,12984.13,23273.13,32988.76,33262.63,33843.94,33894.18,33932.22,34705.25,6625.39
Time to First Token (ms),31116.32,3090.33,36769.01,5912099.86,5044.23,12984.13,23273.13,32988.76,33262.63,33843.94,33894.18,33932.22,34705.25,6625.39
Time to Second Token (ms),7.87,4.88,9.69,1495.36,6.31,7.16,7.69,7.88,7.94,7.99,8.05,8.12,8.64,0.39

Metric,Value
Benchmark Duration (sec),213.52
Good Request Count,0.00
GoodRequestFraction (ratio),0.00
Goodput (requests/sec),0.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),227.80
Request Count,190.00
Request Throughput (requests/sec),0.89
Total Input Sequence Length (tokens),6225924.00
Total Output Sequence Length (tokens),48639.00
Total Output Tokens (tokens),48639.00
Total Token Throughput (tokens/sec),29386.79


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
