Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),36.65,25.82,73.39,15321.03,31.47,33.53,34.22,35.72,36.43,36.84,38.89,39.85,47.04,3.46
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,257.00,257.00,257.00,107426.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,418.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,418.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.93,77.78,78.05,32574.74,77.80,77.85,77.87,77.90,77.93,77.97,77.99,78.01,78.03,0.05
HTTP Data Sent (KB),69.94,65.29,73.66,29233.33,66.55,67.20,68.13,69.13,69.83,70.78,72.15,72.64,73.18,1.53
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),7028.94,3488.58,9914.92,2938098.98,5442.10,6425.14,6582.43,6949.76,7026.92,7167.28,7480.32,7635.21,8136.37,498.76
HTTP Receiving (ms),2218.10,1931.77,2234.99,927166.99,2147.01,2215.16,2216.73,2218.49,2220.37,2222.78,2224.83,2226.39,2228.24,22.86
HTTP Sending (ms),0.15,0.13,0.33,62.37,0.13,0.13,0.13,0.13,0.14,0.16,0.17,0.18,0.20,0.02
HTTP Total Time (ms),7028.94,3488.58,9914.92,2938098.98,5442.10,6425.14,6582.43,6949.76,7026.92,7167.28,7480.32,7635.21,8136.37,498.76
HTTP Waiting (TTFB) (ms),4810.69,1487.33,7693.80,2010869.62,3245.88,4205.82,4361.76,4726.82,4807.80,4944.79,5277.69,5414.52,5910.32,489.89
Input Sequence Length (tokens),16384.02,16384.00,16385.00,6848519.00,16384.00,16384.00,16384.00,16384.00,16384.00,16384.00,16384.00,16384.00,16385.00,0.13
Inter Chunk Latency (ms),8.70,4.44,12.65,926950.81,7.31,8.02,8.13,8.54,8.73,8.98,9.11,9.20,9.94,0.45
Inter Token Latency (ms),8.70,7.57,8.76,3635.07,8.42,8.68,8.69,8.70,8.71,8.71,8.72,8.73,8.74,0.09
OSL Mismatch Diff % (%),0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Output Sequence Length (tokens),256.00,256.00,257.00,107009.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.05
Output Token Count (tokens),256.00,256.00,257.00,107009.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.05
Output Token Throughput Per User (tokens/sec/user),115.00,114.13,132.02,48071.90,114.47,114.55,114.64,114.75,114.87,114.97,115.06,115.16,118.78,1.32
Prefill Throughput Per User (tokens/sec/user),3459.63,2129.58,11014.21,1446125.76,2772.08,3025.82,3104.28,3313.25,3407.64,3465.99,3756.12,3895.35,5047.47,622.75
Request Latency (ms),7028.50,3488.03,9914.23,2937912.53,5441.93,6424.48,6582.25,6949.21,7026.46,7166.64,7480.02,7634.43,8135.80,498.75
Time to First Output Token (ms),4810.91,1487.53,7694.00,2010961.72,3246.11,4206.04,4361.96,4727.08,4808.02,4944.99,5277.89,5414.73,5910.56,489.89
Time to First Token (ms),4810.91,1487.53,7694.00,2010961.72,3246.11,4206.04,4361.96,4727.08,4808.02,4944.99,5277.89,5414.73,5910.56,489.89
Time to Second Token (ms),8.74,6.59,10.53,3652.73,7.35,8.39,8.45,8.58,8.77,8.89,8.99,9.08,9.97,0.35

Metric,Value
Benchmark Duration (sec),186.93
Good Request Count,2.00
GoodRequestFraction (ratio),0.00
Goodput (requests/sec),0.01
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),572.45
Request Count,418.00
Request Throughput (requests/sec),2.24
Total Input Sequence Length (tokens),6848519.00
Total Output Sequence Length (tokens),107009.00
Total Output Tokens (tokens),107009.00
Total Token Throughput (tokens/sec),37208.94


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
