Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),44.81,25.10,108.26,362172.67,30.27,38.93,42.23,43.84,45.14,46.19,47.27,48.36,52.74,3.82
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,229.41,220.00,257.00,1854104.00,221.00,222.00,223.00,224.00,225.00,228.00,248.00,257.00,257.00,9.96
HTTP Chunks Sent,1.00,1.00,1.00,8082.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,8082.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),69.70,66.72,78.07,563341.75,67.30,67.62,67.72,68.03,68.57,69.24,75.40,77.84,77.95,2.95
HTTP Data Sent (KB),4.56,3.93,4.95,36859.11,4.17,4.29,4.37,4.47,4.57,4.65,4.77,4.84,4.91,0.16
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),5761.12,2366.69,10201.39,46561398.06,4853.24,5301.68,5423.55,5545.29,5673.48,5842.71,6067.44,6601.48,8456.07,554.05
HTTP Receiving (ms),4610.56,2238.86,5345.09,37262583.75,3446.77,4122.62,4571.97,4584.96,4601.91,4632.01,4870.96,5043.73,5218.25,258.58
HTTP Sending (ms),0.14,0.06,0.29,1154.50,0.07,0.10,0.11,0.13,0.14,0.16,0.18,0.19,0.21,0.03
HTTP Total Time (ms),5761.12,2366.69,10201.39,46561398.06,4853.24,5301.68,5423.55,5545.29,5673.48,5842.71,6067.44,6601.48,8456.07,554.05
HTTP Waiting (TTFB) (ms),1150.42,127.69,5585.96,9297659.81,333.11,567.57,739.99,932.86,1073.42,1255.97,1527.80,1770.48,3932.24,533.07
Input Sequence Length (tokens),1024.00,1024.00,1024.00,8275968.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),20.23,0.00,707.96,37222812.05,8.10,12.88,14.13,15.97,17.92,19.80,21.53,22.53,26.33,38.75
Inter Token Latency (ms),18.06,8.77,20.85,145977.54,13.51,16.17,17.92,17.97,18.04,18.16,19.02,19.70,20.37,1.00
OSL Mismatch Diff % (%),-0.00,-1.17,0.39,-31.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
Output Sequence Length (tokens),255.99,253.00,257.00,2068912.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.12
Output Token Count (tokens),255.99,253.00,257.00,2068912.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.12
Output Token Throughput Per User (tokens/sec/user),55.57,47.97,114.00,449142.70,49.10,50.75,52.57,55.08,55.44,55.64,55.80,61.86,73.99,3.88
Prefill Throughput Per User (tokens/sec/user),1028.09,183.31,8006.48,8308999.48,260.40,578.31,670.15,815.14,953.81,1097.47,1383.33,1803.41,3072.32,483.02
Request Latency (ms),5756.27,2364.75,10199.07,46522135.82,4849.80,5293.11,5415.95,5542.03,5670.77,5839.37,6061.23,6575.44,8455.90,552.23
Time to First Output Token (ms),1150.62,127.90,5586.09,9299323.76,333.31,567.81,740.24,933.05,1073.59,1256.22,1528.02,1770.67,3932.35,533.07
Time to First Token (ms),1150.62,127.90,5586.09,9299323.76,333.31,567.81,740.24,933.05,1073.59,1256.22,1528.02,1770.67,3932.35,533.07
Time to Second Token (ms),19.89,0.00,684.88,160771.11,6.66,12.67,14.11,15.97,17.86,19.79,21.41,22.53,27.51,36.52

Metric,Value
Benchmark Duration (sec),183.81
Good Request Count,7847.00
GoodRequestFraction (ratio),0.97
Goodput (requests/sec),42.69
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),11255.81
Request Count,8082.00
Request Throughput (requests/sec),43.97
Total Input Sequence Length (tokens),8275968.00
Total Output Sequence Length (tokens),2068912.00
Total Output Tokens (tokens),2068912.00
Total Token Throughput (tokens/sec),56280.81


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
