Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),10.66,8.18,72.13,4958.63,8.76,8.97,8.98,9.01,9.11,9.19,10.67,18.76,46.40,6.75
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,257.00,257.00,257.00,119505.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,465.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,465.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.93,77.77,78.05,36238.07,77.79,77.84,77.85,77.89,77.94,77.97,78.00,78.01,78.04,0.05
HTTP Data Sent (KB),69.87,65.29,73.66,32488.24,65.92,67.16,68.09,69.03,69.80,70.54,72.13,72.63,73.17,1.53
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),26689.74,3549.53,31313.29,12410729.51,5518.11,13656.61,23991.50,27861.95,28111.16,28428.81,28514.76,28534.45,29239.72,4789.97
HTTP Receiving (ms),2218.10,1999.34,2249.23,1031415.35,2146.35,2215.44,2216.59,2217.96,2219.90,2221.78,2223.33,2223.96,2226.06,17.61
HTTP Sending (ms),0.16,0.09,0.34,72.38,0.10,0.12,0.13,0.14,0.16,0.17,0.18,0.20,0.22,0.02
HTTP Total Time (ms),26689.74,3549.53,31313.29,12410729.51,5518.11,13656.61,23991.50,27861.95,28111.16,28428.81,28514.76,28534.45,29239.72,4789.97
HTTP Waiting (TTFB) (ms),24471.49,1550.07,29092.33,11379241.77,3323.79,11435.80,21768.79,25641.62,25887.59,26208.18,26292.66,26316.81,27021.11,4783.41
Input Sequence Length (tokens),16384.01,16384.00,16385.00,7618566.00,16384.00,16384.00,16384.00,16384.00,16384.00,16384.00,16384.00,16384.00,16385.00,0.11
Inter Chunk Latency (ms),8.70,3.30,13.64,1031172.13,7.34,8.02,8.14,8.54,8.73,8.98,9.11,9.19,9.91,0.45
Inter Token Latency (ms),8.70,7.84,8.82,4043.81,8.42,8.69,8.69,8.70,8.70,8.71,8.72,8.72,8.73,0.07
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,119040.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,119040.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),115.00,113.40,127.56,53474.23,114.58,114.68,114.72,114.80,114.90,114.99,115.07,115.13,118.83,0.99
Prefill Throughput Per User (tokens/sec/user),803.53,563.17,10568.59,373643.55,606.37,622.56,623.13,625.14,632.88,638.96,752.67,1433.63,4928.94,874.48
Request Latency (ms),26689.29,3549.37,31313.13,12410519.62,5517.30,13656.02,23990.86,27861.48,28110.90,28428.42,28514.05,28533.86,29239.04,4789.97
Time to First Output Token (ms),24471.72,1550.25,29092.62,11379347.49,3324.04,11435.97,21769.00,25641.83,25887.84,26208.42,26292.89,26317.02,27021.31,4783.41
Time to First Token (ms),24471.72,1550.25,29092.62,11379347.49,3324.04,11435.97,21769.00,25641.83,25887.84,26208.42,26292.89,26317.02,27021.31,4783.41
Time to Second Token (ms),8.72,6.48,11.12,4053.88,7.50,8.31,8.47,8.57,8.75,8.89,8.99,9.03,9.66,0.33

Metric,Value
Benchmark Duration (sec),207.25
Good Request Count,2.00
GoodRequestFraction (ratio),0.00
Goodput (requests/sec),0.01
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),574.37
Request Count,465.00
Request Throughput (requests/sec),2.24
Total Input Sequence Length (tokens),7618566.00
Total Output Sequence Length (tokens),119040.00
Total Output Tokens (tokens),119040.00
Total Token Throughput (tokens/sec),37334.30


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
