Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),4.48,2.21,85.29,2940.94,2.25,2.26,2.26,2.27,2.28,3.37,7.80,13.93,37.75,6.90
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.97,253.00,257.00,168831.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,0.29
HTTP Chunks Sent,1.00,1.00,1.00,657.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,657.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.93,77.76,78.08,51199.69,77.79,77.83,77.86,77.89,77.94,77.96,77.99,78.01,78.03,0.05
HTTP Data Sent (KB),69.88,65.29,73.66,45909.37,66.25,67.17,68.11,69.09,69.81,70.57,72.06,72.59,73.18,1.49
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),92185.99,3002.26,116095.16,60566198.37,6805.50,18385.73,32816.09,76001.31,112390.97,112805.02,113072.45,113100.13,113601.10,32744.03
HTTP Receiving (ms),2219.19,1830.59,2234.15,1458009.82,2153.21,2216.50,2217.31,2218.85,2220.97,2222.88,2224.94,2226.40,2230.19,20.71
HTTP Sending (ms),0.15,0.08,0.35,97.13,0.09,0.09,0.10,0.13,0.14,0.17,0.18,0.20,0.27,0.04
HTTP Total Time (ms),92185.99,3002.26,116095.16,60566198.37,6805.50,18385.73,32816.09,76001.31,112390.97,112805.02,113072.45,113100.13,113601.10,32744.03
HTTP Waiting (TTFB) (ms),89966.65,1171.45,113878.57,59108091.43,4600.28,16159.70,30596.20,73783.37,110172.89,110585.66,110850.47,110876.35,111383.04,32740.39
Input Sequence Length (tokens),16384.02,16384.00,16385.00,10764298.00,16384.00,16384.00,16384.00,16384.00,16384.00,16384.00,16384.00,16384.00,16385.00,0.12
Inter Chunk Latency (ms),8.70,0.00,36.08,1457655.37,7.37,8.02,8.15,8.55,8.73,8.98,9.11,9.20,9.92,0.47
Inter Token Latency (ms),8.70,7.18,8.76,5716.30,8.44,8.69,8.69,8.70,8.71,8.71,8.72,8.73,8.74,0.08
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,168192.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,168192.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),114.95,114.15,139.35,75519.58,114.37,114.57,114.63,114.75,114.84,114.96,115.03,115.08,118.47,1.24
Prefill Throughput Per User (tokens/sec/user),342.63,143.87,13982.46,225105.78,147.10,147.77,147.80,148.16,148.71,222.05,535.54,1014.07,3587.93,811.46
Request Latency (ms),92185.52,3001.65,116094.34,60565888.96,6804.99,18385.62,32815.94,76000.66,112390.28,112804.21,113072.18,113099.72,113600.67,32744.02
Time to First Output Token (ms),89966.87,1171.75,113878.74,59108233.59,4600.41,16159.96,30596.40,73783.57,110173.09,110585.87,110850.72,110876.59,111383.22,32740.41
Time to First Token (ms),89966.87,1171.75,113878.74,59108233.59,4600.41,16159.96,30596.40,73783.57,110173.09,110585.87,110850.72,110876.59,111383.22,32740.41
Time to Second Token (ms),8.73,0.00,11.01,5735.21,7.74,8.38,8.47,8.58,8.75,8.90,8.99,9.06,9.98,0.48

Metric,Value
Benchmark Duration (sec),292.36
Good Request Count,1.00
GoodRequestFraction (ratio),0.00
Goodput (requests/sec),0.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),575.28
Request Count,657.00
Request Throughput (requests/sec),2.25
Total Input Sequence Length (tokens),10764298.00
Total Output Sequence Length (tokens),168192.00
Total Output Tokens (tokens),168192.00
Total Token Throughput (tokens/sec),37393.49


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
