Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),109.73,84.93,126.74,271799.18,96.50,109.09,109.74,109.83,109.96,110.21,110.31,110.41,112.43,2.56
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.93,227.00,257.00,636414.00,254.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,0.77
HTTP Chunks Sent,1.00,1.00,1.00,2477.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,2477.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.89,77.68,78.08,192923.18,77.74,77.79,77.81,77.85,77.89,77.93,77.96,77.98,78.02,0.06
HTTP Data Sent (KB),4.56,3.93,4.95,11296.00,4.17,4.29,4.37,4.47,4.57,4.65,4.77,4.84,4.91,0.16
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2334.79,2019.92,3014.81,5783283.35,2277.03,2318.98,2321.14,2323.23,2328.51,2331.18,2332.97,2343.06,2653.07,63.56
HTTP Receiving (ms),2209.54,1910.84,2217.61,5473041.28,2143.41,2204.90,2208.94,2210.98,2212.99,2214.18,2215.14,2215.64,2216.44,20.41
HTTP Sending (ms),0.15,0.12,0.39,366.42,0.12,0.13,0.13,0.13,0.15,0.16,0.16,0.18,0.21,0.02
HTTP Total Time (ms),2334.79,2019.92,3014.81,5783283.35,2277.03,2318.98,2321.14,2323.23,2328.51,2331.18,2332.97,2343.06,2653.07,63.56
HTTP Waiting (TTFB) (ms),125.10,86.62,858.29,309875.65,108.17,108.60,108.83,109.32,116.90,117.66,118.22,134.86,502.08,67.05
Input Sequence Length (tokens),1024.00,1024.00,1024.00,2536448.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),8.66,0.00,43.54,5471746.99,7.57,8.00,8.15,8.39,8.66,8.94,9.18,9.33,9.68,0.51
Inter Token Latency (ms),8.66,7.49,8.76,21459.23,8.40,8.64,8.66,8.67,8.68,8.68,8.69,8.69,8.70,0.08
OSL Mismatch Diff % (%),-0.01,-0.78,0.00,-16.02,-0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06
Output Sequence Length (tokens),255.98,254.00,256.00,634071.00,255.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.15
Output Token Count (tokens),255.98,254.00,256.00,634071.00,255.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.15
Output Token Throughput Per User (tokens/sec/user),115.44,114.19,133.46,285942.48,114.88,115.11,115.14,115.19,115.26,115.35,115.47,115.68,119.00,1.17
Prefill Throughput Per User (tokens/sec/user),8719.89,1192.75,11787.49,21599162.80,2038.70,7579.53,8646.55,8687.94,8742.72,9349.11,9390.67,9410.51,9449.25,1172.98
Request Latency (ms),2334.34,2019.84,3014.39,5782157.15,2276.88,2318.56,2320.67,2322.74,2328.07,2330.77,2332.48,2342.59,2652.80,63.57
Time to First Output Token (ms),125.32,86.87,858.52,310410.16,108.37,108.81,109.04,109.53,117.13,117.86,118.43,135.10,502.30,67.05
Time to First Token (ms),125.32,86.87,858.52,310410.16,108.37,108.81,109.04,109.53,117.13,117.86,118.43,135.10,502.30,67.05
Time to Second Token (ms),8.58,0.00,10.84,21261.90,6.73,7.83,8.06,8.35,8.64,8.93,9.19,9.35,9.75,0.79

Metric,Value
Benchmark Duration (sec),181.99
Good Request Count,2477.00
GoodRequestFraction (ratio),1.00
Goodput (requests/sec),13.61
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),3484.09
Request Count,2477.00
Request Throughput (requests/sec),13.61
Total Input Sequence Length (tokens),2536448.00
Total Output Sequence Length (tokens),634071.00
Total Output Tokens (tokens),634071.00
Total Token Throughput (tokens/sec),17421.34


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
