Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),69.55,42.00,111.12,435821.23,51.35,60.76,62.40,66.28,70.95,73.30,74.74,75.43,77.76,5.32
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,243.01,207.00,257.00,1522718.00,208.00,212.00,212.00,215.00,257.00,257.00,257.00,257.00,257.00,19.94
HTTP Chunks Sent,1.00,1.00,1.00,6266.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,6266.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),73.72,63.07,78.07,461930.87,63.24,64.38,64.66,65.30,77.84,77.90,77.95,77.97,78.02,5.94
HTTP Data Sent (KB),4.56,3.93,4.95,28573.95,4.17,4.29,4.37,4.47,4.57,4.65,4.77,4.84,4.91,0.16
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3706.64,2306.45,6096.42,23225810.02,3293.22,3395.32,3426.82,3493.73,3608.87,3864.04,4105.58,4218.49,4987.72,325.46
HTTP Receiving (ms),3300.53,2217.88,3953.93,20681121.29,2721.10,3195.49,3226.13,3260.97,3291.65,3331.79,3355.39,3521.87,3822.82,139.74
HTTP Sending (ms),0.14,0.06,0.39,892.51,0.07,0.11,0.12,0.13,0.14,0.16,0.16,0.18,0.20,0.02
HTTP Total Time (ms),3706.64,2306.45,6096.42,23225810.02,3293.22,3395.32,3426.82,3493.73,3608.87,3864.04,4105.58,4218.49,4987.72,325.46
HTTP Waiting (TTFB) (ms),405.97,88.41,2871.32,2543796.22,138.59,143.12,154.43,219.73,319.30,518.18,746.46,858.65,1771.93,297.55
Input Sequence Length (tokens),1024.00,1024.00,1024.00,6416384.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),13.68,0.00,634.06,20670055.36,9.14,10.51,11.02,11.91,12.92,13.88,14.82,15.35,16.38,20.93
Inter Token Latency (ms),12.94,8.69,15.46,81060.66,10.67,12.53,12.65,12.78,12.90,13.06,13.15,13.79,14.98,0.54
OSL Mismatch Diff % (%),-0.00,-0.39,0.00,-12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
Output Sequence Length (tokens),255.99,255.00,256.00,1604064.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.07
Output Token Count (tokens),255.99,255.00,256.00,1604064.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.07
Output Token Throughput Per User (tokens/sec/user),77.44,64.68,115.11,485247.37,66.74,72.53,76.03,76.56,77.50,78.23,79.08,79.83,93.72,3.40
Prefill Throughput Per User (tokens/sec/user),3502.67,356.60,11551.43,21947750.50,577.87,1192.25,1371.45,1975.32,3204.76,4655.97,6622.87,7144.45,7377.07,1816.01
Request Latency (ms),3704.94,2303.88,6095.41,23215146.44,3292.05,3393.66,3425.40,3492.30,3607.82,3862.23,4102.68,4213.47,4985.18,324.98
Time to First Output Token (ms),406.17,88.65,2871.52,2545091.08,138.81,143.33,154.62,219.93,319.52,518.40,746.65,858.88,1772.16,297.54
Time to First Token (ms),406.17,88.65,2871.52,2545091.08,138.81,143.33,154.62,219.93,319.52,518.40,746.65,858.88,1772.16,297.54
Time to Second Token (ms),13.58,0.00,590.20,85080.87,5.31,10.16,10.82,11.77,12.81,13.81,14.73,15.25,16.24,21.76

Metric,Value
Benchmark Duration (sec),182.79
Good Request Count,6218.00
GoodRequestFraction (ratio),0.99
Goodput (requests/sec),34.02
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),8775.63
Request Count,6266.00
Request Throughput (requests/sec),34.28
Total Input Sequence Length (tokens),6416384.00
Total Output Sequence Length (tokens),1604064.00
Total Output Tokens (tokens),1604064.00
Total Token Throughput (tokens/sec),43878.85


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
