Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),11.95,9.17,102.46,12527.53,9.90,10.31,10.32,10.38,10.42,10.46,10.91,19.13,48.78,7.33
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,257.00,257.00,257.00,269336.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1048.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,1048.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.91,77.76,78.03,81650.71,77.78,77.81,77.85,77.88,77.91,77.95,77.97,77.99,78.02,0.05
HTTP Data Sent (KB),35.06,32.26,37.28,36743.83,33.16,33.55,34.06,34.61,35.04,35.53,36.15,36.46,37.17,0.85
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),23485.69,2499.04,27920.81,24612998.59,5248.88,13380.57,23473.16,24463.95,24563.15,24673.61,24800.88,24838.31,25856.08,3892.64
HTTP Receiving (ms),2453.73,1897.78,2551.36,2571512.12,2249.39,2411.04,2412.53,2417.21,2445.59,2498.79,2517.81,2527.97,2544.60,57.03
HTTP Sending (ms),0.15,0.09,0.28,158.70,0.09,0.11,0.13,0.13,0.16,0.16,0.18,0.21,0.22,0.03
HTTP Total Time (ms),23485.69,2499.04,27920.81,24612998.59,5248.88,13380.57,23473.16,24463.95,24563.15,24673.61,24800.88,24838.31,25856.08,3892.64
HTTP Waiting (TTFB) (ms),21031.80,601.15,25409.27,22041327.76,2904.08,10955.19,21033.50,21976.44,22149.03,22233.94,22299.33,22327.49,23359.96,3869.81
Input Sequence Length (tokens),8192.01,8192.00,8193.00,8585224.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.09
Inter Chunk Latency (ms),9.62,3.85,15.27,2570969.20,8.14,8.84,9.08,9.32,9.54,9.92,10.38,10.53,11.01,0.56
Inter Token Latency (ms),9.62,7.44,10.00,10082.23,8.82,9.45,9.46,9.48,9.59,9.80,9.87,9.91,9.98,0.22
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,268288.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,268288.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),104.01,99.97,134.41,108998.16,100.23,100.90,101.30,102.08,104.29,105.51,105.72,105.78,113.39,2.62
Prefill Throughput Per User (tokens/sec/user),474.49,322.40,13623.76,497269.14,350.69,366.90,367.37,368.44,369.85,372.76,389.49,747.79,2820.80,701.24
Request Latency (ms),23485.24,2498.51,27920.27,24612529.75,5248.51,13379.98,23472.65,24463.44,24562.74,24673.10,24800.17,24838.05,25855.70,3892.62
Time to First Output Token (ms),21032.02,601.30,25409.41,22041560.55,2904.25,10955.35,21033.76,21976.70,22149.27,22234.14,22299.56,22327.68,23360.18,3869.82
Time to First Token (ms),21032.02,601.30,25409.41,22041560.55,2904.25,10955.35,21033.76,21976.70,22149.27,22234.14,22299.56,22327.68,23360.18,3869.82
Time to Second Token (ms),9.68,4.07,12.48,10143.41,8.12,8.98,9.12,9.34,9.56,10.13,10.37,10.50,11.12,0.62

Metric,Value
Benchmark Duration (sec),204.02
Good Request Count,6.00
GoodRequestFraction (ratio),0.01
Goodput (requests/sec),0.03
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1315.03
Request Count,1048.00
Request Throughput (requests/sec),5.14
Total Input Sequence Length (tokens),8585224.00
Total Output Sequence Length (tokens),268288.00
Total Output Tokens (tokens),268288.00
Total Token Throughput (tokens/sec),43395.97


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
