Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),77.83,7.52,120.57,145537.13,9.49,12.75,15.83,70.62,87.16,96.91,103.58,107.96,112.61,28.68
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,252.03,169.00,257.00,471303.00,229.00,240.00,245.00,247.00,257.00,257.00,257.00,257.00,257.00,7.86
HTTP Chunks Sent,1.00,1.00,1.00,1870.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.59,0.00,1031.91,1103.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.86
HTTP Connection Overhead (ms),0.61,0.00,1034.67,1148.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.93
HTTP Connection Reused (ratio),0.99,0.00,1.00,1854.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.09
HTTP Data Received (KB),78.09,52.39,79.79,146028.69,70.96,74.36,75.85,76.61,79.55,79.63,79.68,79.70,79.74,2.42
HTTP Data Sent (KB),275.64,264.56,288.28,515453.59,268.20,269.82,271.01,273.19,275.10,277.88,281.41,282.80,284.86,3.83
HTTP DNS Lookup (ms),0.02,0.00,3.29,44.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26
HTTP Duration (excl. conn) (ms),5202.93,2123.58,34020.61,9729472.18,2275.64,2371.60,2472.87,2642.68,2939.32,3625.86,16169.61,20082.51,26968.66,5832.91
HTTP Receiving (ms),1760.88,1183.22,2268.69,3292847.81,1457.27,1505.10,1562.75,1643.32,1755.11,1870.89,1971.24,2024.69,2139.04,159.10
HTTP Sending (ms),0.75,0.13,1032.33,1399.41,0.13,0.13,0.13,0.14,0.16,0.17,0.18,0.19,0.26,23.87
HTTP Total Time (ms),5203.54,2123.58,34020.61,9730620.33,2275.64,2371.60,2472.87,2642.68,2939.32,3625.86,16169.61,20082.51,26968.66,5832.94
HTTP Waiting (TTFB) (ms),3441.30,652.15,32465.04,6435224.96,670.52,690.22,769.96,893.71,1124.77,1798.25,14297.80,18399.66,25150.34,5835.52
Input Sequence Length (tokens),64549.12,64547.00,64552.00,120706862.00,64548.00,64548.00,64549.00,64549.00,64549.00,64549.00,64550.00,64550.00,64551.00,0.60
Inter Chunk Latency (ms),7.04,0.00,495.83,3290311.44,5.07,5.67,5.71,6.45,6.62,7.67,8.06,8.44,13.06,3.00
Inter Token Latency (ms),6.90,4.64,8.89,12903.18,5.71,5.89,6.12,6.44,6.88,7.33,7.73,7.93,8.38,0.62
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,478720.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,478720.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),146.11,112.47,215.60,273232.25,119.26,126.07,129.40,136.36,145.41,155.31,163.35,169.74,175.09,13.23
Prefill Throughput Per User (tokens/sec/user),52448.83,1988.25,98941.77,98079312.51,2566.52,3508.12,4514.54,35890.31,57376.50,72210.57,83812.57,93492.83,96238.35,26751.17
Request Latency (ms),5201.65,2123.30,34020.22,9727091.72,2273.35,2371.15,2471.62,2641.58,2937.14,3624.95,16169.21,20081.81,26967.70,5832.85
Time to First Output Token (ms),3442.13,652.39,32465.26,6436780.28,670.73,690.43,770.16,893.91,1125.00,1798.49,14298.03,18399.87,25150.55,5835.43
Time to First Token (ms),3442.13,652.39,32465.26,6436780.28,670.73,690.43,770.16,893.91,1125.00,1798.49,14298.03,18399.87,25150.55,5835.43
Time to Second Token (ms),8.56,0.00,65.41,16004.72,6.39,6.93,7.02,7.85,8.12,9.24,9.64,9.90,11.24,3.26
Usage Completion Tokens (tokens),256.00,256.00,256.00,478720.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Usage Prompt Cache Read Tokens (tokens),48270.90,8576.00,48384.00,88094400.00,45056.00,48384.00,48384.00,48384.00,48384.00,48384.00,48384.00,48384.00,48384.00,1224.55
Usage Prompt Tokens (tokens),64549.12,64547.00,64552.00,120706862.00,64548.00,64548.00,64549.00,64549.00,64549.00,64549.00,64550.00,64550.00,64551.00,0.60
Usage Total Tokens (tokens),64805.12,64803.00,64808.00,121185582.00,64804.00,64804.00,64805.00,64805.00,64805.00,64805.00,64806.00,64806.00,64807.00,0.60

Metric,Value
Benchmark Duration (sec),313.40
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1527.49
Overall Usage Prompt Cache Read % (%),72.98
Request Count,1870.00
Request Throughput (requests/sec),5.97
Total Input Sequence Length (tokens),120706862.00
Total Output Sequence Length (tokens),478720.00
Total Output Tokens (tokens),478720.00
Total Token Throughput (tokens/sec),386677.51
Total Usage Completion Tokens (tokens),478720.00
Total Usage Prompt Cache Read Tokens (tokens),88094400.00
Total Usage Prompt Tokens (tokens),120706862.00
Total Usage Total Tokens (tokens),121185582.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
