Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),137.93,127.08,139.85,107030.33,134.25,136.98,137.48,137.91,138.02,138.44,138.53,138.57,138.62,0.97
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,257.00,257.00,257.00,199432.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,776.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,776.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.89,77.73,78.04,60441.37,77.76,77.80,77.82,77.85,77.89,77.92,77.96,77.99,78.02,0.06
HTTP Data Sent (KB),4.56,3.93,4.95,3538.68,4.17,4.29,4.37,4.47,4.57,4.65,4.76,4.82,4.91,0.16
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1856.30,1830.63,2014.52,1440489.40,1846.96,1847.72,1848.19,1849.43,1854.92,1856.46,1862.14,1868.32,1907.00,13.56
HTTP Receiving (ms),1750.00,1744.61,1752.31,1358002.72,1747.26,1748.24,1748.66,1749.36,1750.07,1750.75,1751.27,1751.50,1752.05,1.06
HTTP Sending (ms),0.14,0.11,0.19,108.46,0.12,0.12,0.12,0.13,0.13,0.16,0.16,0.16,0.18,0.02
HTTP Total Time (ms),1856.30,1830.63,2014.52,1440489.40,1846.96,1847.72,1848.19,1849.43,1854.92,1856.46,1862.14,1868.32,1907.00,13.56
HTTP Waiting (TTFB) (ms),106.16,85.87,265.21,82378.22,97.59,98.02,98.35,99.12,104.88,105.72,112.07,118.42,157.32,13.56
Input Sequence Length (tokens),1024.00,1024.00,1024.00,794624.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),6.86,3.80,9.02,1357779.17,6.46,6.66,6.71,6.78,6.86,6.94,7.01,7.06,7.23,0.16
Inter Token Latency (ms),6.86,6.84,6.92,5324.90,6.85,6.85,6.86,6.86,6.86,6.86,6.87,6.87,6.87,0.01
OSL Mismatch Diff % (%),-0.01,-0.78,0.00,-3.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06
Output Sequence Length (tokens),255.99,254.00,256.00,198646.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.14
Output Token Count (tokens),255.99,254.00,256.00,198646.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.14
Output Token Throughput Per User (tokens/sec/user),145.73,144.59,146.19,113087.00,145.54,145.60,145.63,145.67,145.73,145.79,145.85,145.89,145.97,0.12
Prefill Throughput Per User (tokens/sec/user),9719.90,3857.57,11896.06,7542640.96,6500.70,8631.50,9120.99,9668.65,9745.44,10310.01,10390.06,10424.10,10472.56,767.34
Request Latency (ms),1856.07,1830.48,2014.44,1440313.53,1846.73,1847.47,1847.96,1849.18,1854.74,1856.25,1862.06,1868.13,1906.88,13.57
Time to First Output Token (ms),106.36,86.08,265.45,82534.36,97.78,98.23,98.56,99.32,105.07,105.91,112.27,118.64,157.52,13.56
Time to First Token (ms),106.36,86.08,265.45,82534.36,97.78,98.23,98.56,99.32,105.07,105.91,112.27,118.64,157.52,13.56
Time to Second Token (ms),6.70,3.80,7.59,5198.79,5.14,6.03,6.42,6.63,6.76,6.89,7.01,7.09,7.30,0.38

Metric,Value
Benchmark Duration (sec),180.53
Good Request Count,776.00
GoodRequestFraction (ratio),1.00
Goodput (requests/sec),4.30
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1100.35
Request Count,776.00
Request Throughput (requests/sec),4.30
Total Input Sequence Length (tokens),794624.00
Total Output Sequence Length (tokens),198646.00
Total Output Tokens (tokens),198646.00
Total Token Throughput (tokens/sec),5501.96


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
